Referência;2009;
CLIENTE;CNPJ;VALOR Janeiro;PEDIDOS Janeiro;VALOR Fevereiro;PEDIDOS Fevereiro;VALOR Março;PEDIDOS Março;VALOR Abril;PEDIDOS Abril;VALOR Maio;PEDIDOS Maio;VALOR Junho;PEDIDOS Junho;VALOR Julho;PEDIDOS Julho;VALOR Agosto;PEDIDOS Agosto;VALOR Setembro;PEDIDOS Setembro;VALOR Outubro;PEDIDOS Outubro;VALOR Novembro;PEDIDOS Novembro;VALOR Dezembro;PEDIDOS Dezembro;
		1 Banco do Brasil S.A.;	00.000.000/0583-51;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;85,60;1
ASSOCIAÇÃO BRASILEIRA DE MORADORES E MUTUÁRIOS - ABMM;	01.947.252/0001-95;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,01;1
PINKERTON DO BRASIL LTDA.;	02.214.016/0002-03;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;298,90;1
KOCH TECNOLOGIA QUIMICA LTDA;	02.222.463/0001-23;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;270,00;2
LOSINOX LTDA.;	03.770.404/0001-52;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;1020,00;24
Carlos Heitor de Paula Dias EPP;	04.180.695/0001-91;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;143,00;1;0,00;0
ASSOCIACAO SSJ SAO JOSE;	04.307.398/0001-64;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;143,00;1;0,00;0
Eliana Pereira do Nascimento Poá - ME;	04.739.599/0001-30;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;125,00;1;0,00;0
GUINDAL GUINDASTES E TRANSPORTES LTDA;	04.842.390/0001-06;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;139,00;4
TIRI ESTACIONAMENTOS LTDA.;	05.018.383/0001-49;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;105,00;3;0,00;0
GLAFCON IND E COM DE ART DE METAIS LTDA;	05.198.541/0001-90;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;178,00;2;0,00;0
FLOWERS CONSULTING LTDA;	05.279.707/0001-00;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;435,00;12;0,00;0
ABREU JR. ADVOGADOS;	05.361.587/0001-88;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;178,00;1;0,00;0
INTERCON ENGENHARIA E SERVIÇOS LTDA;	05.437.753/0001-82;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;35,00;1
ASSOCIACAO NOSSO CAMINHO;	05.928.519/0001-58;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;35,00;1;0,00;0
ABC SOLUÇÕES EM LOGÍSTICA LTDA.;	06.000.362/0001-69;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;115,00;4;0,00;0
NECROFRIO INDUSTRIAL DE REFRIGERAÇÃO LTDA;	06.006.273/0001-20;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;1298,00;4;470,00;10
MAREVAN PROCESSAMENTO DE DADOS LTDA ME;	06.229.282/0001-80;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;321,00;4;0,00;0
ANA PELLEGRINI ADVOGADOS ASSOCIADOS;	07.058.096/0001-98;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;108,00;1;400,00;5
Davinchi Empreendimentos e Participações Ltda.;	07.430.160/0001-10;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;682,00;11
Bicbanco S/A;	07.450.604/0001-89;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;104,60;1
Tournai Adm. Participações Ltda-EPP;	07.451.687/0001-20;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;320,00;7
Waterworks Comercio e Serviços de Tratamento de Agua Ltda.;	07.578.898/0001-29;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;35,00;1;0,00;0
WI INDUSTRIA E COMERCIO DE PRODUTOS METALURGICOS LTDA;	08.181.964/0001-95;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;260,00;1;0,00;0
OREN ENGENHARIA E CONSTRUÇÕES LTDA;	08.184.866/0001-01;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;174,00;5
CONSTRUCEL COMERCIO DE MATERIAIS DE CONSTRUCAO;	08.185.093/0001-88;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;160,00;1
Ervan Vidória Marques dos Santos;	08.188.409/0001-95;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;153,00;1;0,00;0
Artes Mabbuia Comércio de Artezanatos Gerenciamentos e Incorporação de Bens Proprios Ltda;	08.473.335/0001-39;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;599,00;10;0,00;0
HACC ADMINISTRACAO DE BENS PROPRIOS LTDA;	08.531.093/0001-92;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;79,00;2
TATIANE ROCHA DE SOUSA MONTAGENS ME;	08.725.085/0001-87;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;36,00;1
BAR  RESTAURANTE DMBJ LTDA EPP;	08.833.928/0001-69;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;143,00;1
INVIOLAVEL PORTO ALEGRE MANUTENCAO E COMERCIO;	08.870.082/0001-37;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;170,00;2;0,00;0
CHURRASQUEIRAS BRASIL COMERCIAL LTDA;	08.885.662/0001-06;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;132,00;4;0,00;0
ap produções culturais ltda me;	08.936.897/0001-71;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;35,00;1
CDCPP - CENTRAL DE DISTRIBUIÇÃO DE CERTIDÕES;	09.067.775/0001-59;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;95,00;3
Ayromedic Cmércio de Material Médico e Hospitalar LTDA;	09.121.973/0001-53;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;35,00;1;0,00;0
ARMAZEM DE MARKETING PUBLICIDADE E PROPAGANDA LTDA;	09.254.828/0001-40;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;77,00;4;0,00;0
OMICRON SERVICE INSTL MONT DE MAQ E CCOM DE MAT ELETRICOS LTDA;	10.142.582/0001-02;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;35,00;1
ACM  Legalizações Empresariais Ltda. - ME;	10.377.191/0001-69;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;160,00;4;150,00;3
BLANES E NEPOMUCENO SOCIEDADE DE ADVOGADOS;	10.502.484/0001-20;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;81,60;1
C. A. O. COSTA;	10.942.849/0001-38;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;143,00;1
YES LAND REALTY URBANIZAÇÃO E CONSTRUÇÃO LTDA.;	11.050.258/0001-19;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;2310,00;35
ALS BUSINESS - Fotos Aéreas e Publicidade ltda (ALS IMOVEIS);	11.054.260/0001-66;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;90,00;1;0,00;0
TABELIONATO STADLER - CNPF/MF 78190634000141;	11.067.846/0001-65;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;95,00;3
Adalto Martins Tosta Contabilidade-ME;	11.150.049/0001-47;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;200,00;6
Bionica Representações Ltda;	11.197.425/0001-59;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;35,00;1
SOCIEDADE AMANTE DA INSTRUÇÃO;	33.588.997/0001-00;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;108,00;1;0,00;0
409 UNIBANCO - União de Bancos Brasileiros S.A.;	33.700.394/0236-03;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;179,00;2
151 Banco Nossa Caixa S.A.;	43.073.394/0430-06;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;1793,40;6
UNIBANCO RODOBENS ADM. CONSÓRCIOS LTDA.;	45.713.971/0001-17;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;1320,00;9
EMBRARAD EMPRESA BRASILEIRA DE RADIAÇÕES LTDA;	45.789.724/0001-02;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;61,00;1
INDUSTRIA E COMERCIO CHAVANTES LTDA;	48.359.285/0001-88;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;180,00;1;0,00;0
RODOBENS ADMINISTRADORA DE CONSÓRCIOS LTDA.;	51.855.716/0001-01;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;5285,71;70
Tesheiner Cavassani e Giacomazi Advogados e Consultores Legais S/C;	53.283.180/0001-22;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;392,00;4;535,00;6
ISFE- INSTITUTO SECULAR DE FRATERNIDADES EVANGELIZADORAS;	55.039.937/0001-62;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;12,00;1;0,00;0
ROCHA E FONTANETTI ADVOGADOS ASSOCIADOS S/C;	57.716.581/0001-80;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;3111,00;12;0,00;0
IGREJA BATISTA NACIONAL DE VILA MARIA;	57.998.932/0001-92;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;360,00;12;0,00;0
BANCO GM AC;	59.274.605/0001-13;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;85,60;1
MM ORIGINAL DISTRIBUIDORA DE PETROLEO;	61.233.771/0007-09;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;231,00;3;0,00;0
EPU - Editora Pedagógica e universitária LTDA;	61.485.579/0001-14;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;178,00;2;0,00;0
SERASA S/A. ;	62.173.620/0001-80;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,28;28
ASSOCIACAO COMUNITARIA HABITACIONAL VARGEM GRANDE;	66.510.835/0001-08;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;153,00;1;0,00;0
Nextel Telecomunicações Ltda;	66.970.229/0001-67;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;830,52;9
TRIGUEIRO FONTES ADVOGADOS;	70.030.457/0008-09;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;712,00;4
Romão Imóveis Ltda.;	74.504.838/0001-59;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;496,00;10
PORTOBENS ADM. DE CONSÓRCIOS LTDA.;	87.433.413/0001-48;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;1930,00;22
