Ordens ;Protocolo;Resposta ;Custas ;Motivo de atraso 
#148599/55;;5 Positiva ;;
#148599/56;;4 Positiva ;;
#148599/57;;Negativa ;;
#148599/58;;Negativa ;;
#148599/59;;Negativa ;;
#148599/60;;Negativa ;;
#148599/61;;1 Positiva ;;
#148599/62;;1 Positiva ;;
#148599/63;;Negativa ;;
#148599/64;;1 Positiva ;;
#148599/65;;Negativa ;;
#148599/66;;1 Positiva ;;
#148599/67;;1 Positiva ;;
#148599/68;;Negativa ;;
#148599/69;;1 Positiva ;;
#148599/70;;Negativa ;;
#148599/71;;2 Positiva ;;
#148599/72;;1 Positiva ;;
#148599/73;;1 Positiva ;;
#148599/74;;Negativa ;;
#148599/75;;Negativa ;;
#148599/76;;1 Positiva ;;
#148599/77;;1 Positiva ;;
#148599/78;;2 Positiva ;;
#148599/79;;1 Positiva ;;
#148599/80;;Negativa ;;
#148599/81;;1 Positiva ;;
#148599/82;;Negativa ;;
#148599/83;;1 Positiva ;;
#148599/84;;Negativa ;;
#148599/85;;Negativa ;;
#148599/86;;Negativa ;;
#148599/87;;Negativa ;;
#148599/88;;Negativa ;;
#148599/89;;2 Positiva ;;
#148599/90;;2 Positiva ;;
#148599/91;;1 Positiva ;;
#148599/92;;1 Positiva ;;
#148599/93;;1 Positiva ;;
#148599/94;;1 Positiva ;;
#148599/95;;1 Positiva ;;
#148599/96;;Negativa ;;
#148599/97;;1 Positiva ;;
#148599/98;;3 Positiva ;;
#148599/99;;1 Positiva ;;
#148599/100;;1 Positiva ;;
#148599/101;;1 Positiva ;;
#148599/102;;1 Positiva ;;
#148599/103;;Negativa ;;
#148599/104;;Negativa ;;
#148599/105;;2 Positiva ;;
#148599/106;;Negativa ;;
#148599/107;;4 Positiva ;;
#148599/108;;Negativa ;;
#148599/109;;Negativa ;;
#148599/110;;Negativa ;;
#148599/111;;Negativa ;;
#148599/112;;1 Positiva ;;
#148599/113;;2 Positiva ;;
#148599/114;;1 Positiva ;;
#148599/115;;Negativa ;;
#148599/116;;Negativa ;;
#148599/117;;Negativa ;;
#148599/118;;Negativa ;;
#148599/119;;Negativa ;;
#148599/120;;Negativa ;;
#148599/121;;Negativa ;;
#148599/122;;Negativa ;;
#148599/123;;1 Positiva ;;
#148599/124;;Negativa ;;
#148599/125;;4 Positiva ;;
#148599/126;;3 Positiva ;;
#148599/127;;Negativa ;;
#148599/128;;Negativa ;;
#148599/129;;2 Positiva ;;
#148599/130;;1 Positiva ;;
#148599/131;;Negativa ;;
#148599/132;;1 Positiva ;;
#148599/133;;1 Positiva ;;
#148599/134;;2 Positiva ;;
#148599/135;;Negativa ;;
#148599/136;;1 Positiva ;;
#148599/137;;2 Positiva ;;
#148599/138;;Negativa ;;
#148599/139;;1 Positiva ;;
#148599/140;;Negativa ;;
#148599/141;;3 Positiva ;;
#148599/142;;Negativa ;;
#148599/143;;1 Positiva ;;
#148599/144;;1 Positiva ;;
#148599/145;;8 Positiva ;;
#148599/146;;1 Positiva ;;
#148599/147;;Negativa ;;
#148599/148;;3 Positiva ;;
#148599/149;;Negativa ;;
#148599/150;;Negativa ;;
#148599/151;;1 Positiva ;;
#148599/152;;Negativa ;;
#148599/153;;1 Positiva ;;
#148599/154;;1 Positiva ;;
#148599/155;;1 Positiva ;;
#148599/156;;Negativa ;;
#148599/157;;1 Positiva ;;
#148599/158;;1 Positiva ;;
#148599/159;;1 Positiva ;;
#148599/160;;1 Positiva ;;
#148599/161;;Negativa ;;
#148599/162;;Negativa ;;
#148599/163;;Negativa ;;
#148599/164;;Negativa ;;
#148599/165;;Negativa ;;
#148599/166;;Negativa ;;
#148599/167;;Negativa ;;
#148599/168;;Negativa ;;
#148599/169;;Negativa ;;
#148599/170;;Negativa ;;
#148599/171;;1 Positiva ;;
#148599/172;;3 Positiva ;;
#148599/173;;Negativa ;;
#148599/174;;Negativa ;;
#148599/175;;1 Positiva ;;
#148599/176;;Negativa ;;
#148599/177;;1 Positiva ;;
#148599/178;;3 Positiva ;;
#148599/179;;Negativa ;;
#148599/180;;2 Positiva ;;
#148599/181;;Negativa ;;
#148599/182;;Negativa ;;
#148599/183;;Negativa ;;
#148599/184;;3 Positiva ;;
#148599/185;;Negativa ;;
#148599/186;;1 Positiva ;;
#148599/187;;6 Positiva ;;
#148599/188;;1 Positiva ;;
#148599/189;;2 Positiva ;;
#148599/190;;Negativa ;;
#148599/191;;1 Positiva ;;
#148599/192;;Negativa ;;
#148599/193;;1 Positiva ;;
#148599/194;;Negativa ;;
#148599/195;;Negativa ;;
#148599/196;;2 Positiva ;;
#148599/197;;1 Positiva ;;
#148599/198;;1 Positiva ;;
#148599/199;;Negativa ;;
#148599/200;;1 Positiva ;;
#148599/201;;Negativa ;;
#148599/202;;1 Positiva ;;
#148599/203;;Negativa ;;
#148599/204;;1 Positiva ;;
#148599/205;;Negativa ;;
#148599/206;;Negativa ;;
#148599/207;;Negativa ;;
#148599/208;;Negativa ;;
#148599/209;;1 Positiva ;;
#148599/210;;2 Positiva ;;
#148599/211;;Negativa ;;
#148599/212;;Negativa ;;
#148599/213;;2 Positiva ;;
#148599/214;;Negativa ;;
#148599/215;;2 Positiva ;;
#148599/216;;Negativa ;;
#148599/217;;3 Positiva ;;
#148599/218;;1 Positiva ;;
#148599/219;;3 Positiva ;;
#148599/220;;Negativa ;;
#148599/221;;1 Positiva ;;
#148599/222;;3 Positiva ;;
#148599/223;;Negativa ;;
#148599/224;;Negativa ;;
#148599/225;;1 Positiva ;;
#148599/226;;4 Positiva ;;
#148599/227;;Negativa ;;
#148599/228;;Negativa ;;
#148599/229;;2 Positiva ;;
#148599/230;;Negativa ;;
#148599/231;;1 Positiva ;;
#148599/232;;2 Positiva ;;
#148599/233;;1 Positiva ;;
#148599/234;;Negativa ;;
#148599/235;;Negativa ;;
#148599/236;;Negativa ;;
#148599/237;;1 Positiva ;;
#148599/238;;Negativa ;;
#148599/239;;5 Positiva ;;
#148599/240;;Negativa ;;
#148599/241;;3 Positiva ;;
#148599/242;;2 Positiva ;;
#148599/243;;2 Positiva ;;
#148599/244;;2 Positiva ;;
#148599/245;;Negativa ;;
#148599/246;;2 Positiva ;;
#148599/247;;Negativa ;;
#148599/248;;2 Positiva ;;
#148599/249;;Negativa ;;
#148599/250;;Negativa ;;
#148599/251;;Negativa ;;
#148599/252;;1 Positiva ;;
#148599/253;;Negativa ;;
#148599/254;;Negativa ;;
#148599/255;;Negativa ;;
#148599/256;;1 Positiva ;;
#148599/257;;4 Positiva ;;
#148599/258;;3 Positiva ;;
#148599/259;;1 Positiva ;;
#148599/260;;2 Positiva ;;
#148599/261;;1 Positiva ;;
#148599/262;;3 Positiva ;;
#148599/263;;Negativa ;;
#148599/264;;Negativa ;;
#148599/265;;1 Positiva ;;
#148599/266;;4 Positiva ;;
#148599/267;;Negativa ;;
#148599/268;;1 Positiva ;;
#148599/269;;1 Positiva ;;
#148599/270;;2 Positiva ;;
#148599/271;;Negativa ;;
#148599/272;;Negativa ;;
#148599/273;;Negativa ;;
#148599/274;;1 Positiva ;;
#148599/275;;2 Positiva ;;
#148599/276;;Negativa ;;
#148599/277;;1 Positiva ;;
#148599/278;;3 Positiva ;;
#148599/279;;2 Positiva ;;
#148599/280;;1 Positiva ;;
#148599/281;;Negativa ;;
#148599/282;;1 Positiva ;;
#148599/283;;Negativa ;;
#148599/284;;1 Positiva ;;
#148599/285;;Negativa ;;
#148599/286;;Negativa ;;
#148599/287;;Negativa ;;
#148599/288;;1 Positiva ;;
#148599/289;;Negativa ;;
#148599/290;;1 Positiva ;;
#148599/291;;1 Positiva ;;
#148599/292;;2 Positiva ;;
#148599/293;;1 Positiva ;;
#148599/294;;Negativa ;;
#148599/295;;3 Positiva ;;
#148599/296;;Negativa ;;
#148599/297;;Negativa ;;
#148599/298;;Negativa ;;
#148599/299;;1 Positiva ;;
#148599/300;;3 Positiva ;;
#148599/301;;5 Positiva ;;
#148599/302;;3 Positiva ;;
#148599/303;;Negativa ;;
#148599/304;;Negativa ;;
#148599/305;;5 Positiva ;;
#148599/306;;Negativa ;;
#148599/307;;2 Positiva ;;
#148599/308;;Negativa ;;
#148599/309;;2 Positiva ;;
#148599/310;;1 Positiva ;;
#148599/311;;1 Positiva ;;
#148599/312;;1 Positiva ;;
#148599/313;;Negativa ;;
#148599/314;;1 Positiva ;;
#148599/315;;8 Positiva ;;
#148599/316;;Negativa ;;
#148599/317;;Negativa ;;
#148599/318;;2 Positiva ;;
#148599/319;;1 Positiva ;;
#148599/320;;Negativa ;;
#148599/321;;3 Positiva ;;
#148599/322;;Negativa ;;
#148599/323;;3 Positiva ;;
#148599/324;;2 Positiva ;;
#148599/325;;2 Positiva ;;
#148599/326;;Negativa ;;
#148599/327;;Negativa ;;
#148599/328;;Negativa ;;
#148599/329;;1 Positiva ;;
#148599/330;;3 Positiva ;;
#148599/331;;3 Positiva ;;
#148599/332;;Negativa ;;
#148599/333;;Negativa ;;
#148599/334;;1 Positiva ;;
#148599/335;;2 Positiva ;;
#148599/336;;Negativa ;;
#148599/337;;Negativa ;;
#148599/338;;Negativa ;;
#148599/339;;Negativa ;;
#148599/340;;2 Positiva ;;
#148599/341;;Negativa ;;
#148599/342;;Negativa ;;
#148599/343;;2 Positiva ;;
#148599/344;;Negativa ;;
#148599/345;;2 Positiva ;;
#148599/346;;Negativa ;;
#148599/347;;Negativa ;;
#148599/348;;2 Positiva ;;
#148599/349;;1 Positiva ;;
#148599/350;;Negativa ;;
#148599/351;;2 Positiva ;;
#148599/352;;Negativa ;;
#148599/353;;Negativa ;;
#148599/354;;1 Positiva ;;
#148599/355;;2 Positiva ;;
#148599/356;;Negativa ;;
#148599/357;;6 Positiva ;;
#148599/358;;5 Positiva ;;
#148599/359;;Negativa ;;
#148599/360;;Negativa ;;
#148599/361;;Negativa ;;
#148599/362;;1 Positiva ;;
#148599/363;;Negativa ;;
#148599/364;;1 Positiva ;;
#148599/365;;2 Positiva ;;
#148599/366;;1 Positiva ;;
#148599/367;;1 Positiva ;;
#148599/368;;Negativa ;;
#148599/369;;1 Positiva ;;
#148599/370;;2 Positiva ;;
#148599/371;;2 Positiva ;;
#148599/372;;Negativa ;;
#148599/373;;Negativa ;;
#148599/374;;2 Positiva ;;
#148599/375;;Negativa ;;
#148599/376;;Negativa ;;
#148599/377;;Negativa ;;
#148599/378;;Negativa ;;
#148599/379;;1 Positiva ;;
#148599/380;;1 Positiva ;;
#148599/381;;1 Positiva ;;
#148599/382;;Negativa ;;
#148599/383;;Negativa ;;
#148599/384;;3 Positiva ;;
#148599/385;;Negativa ;;
#148599/386;;Negativa ;;
#148599/387;;1 Positiva ;;
#148599/388;;Negativa ;;
#148599/389;;Negativa ;;
#148599/390;;Negativa ;;
#148599/391;;Negativa ;;
#148599/392;;Negativa ;;
#148599/393;;1 Positiva ;;
#148599/394;;3 Positiva ;;
#148599/395;;2 Positiva ;;
#148599/396;;Negativa ;;
#148599/397;;Negativa ;;
#148599/398;;Negativa ;;
#148599/399;;2 Positiva ;;
#148599/400;;Negativa ;;
#148599/401;;Negativa ;;
#148599/402;;Negativa ;;
#148599/403;;Negativa ;;
#148599/404;;1 Positiva ;;
#148599/405;;;;
#148599/406;;1 Positiva ;;
#148599/407;;;;
#148599/408;;7 Positiva ;;
#148599/409;;;;
#148599/410;;2 Positiva ;;
#148599/411;;1 Positiva ;;
#148599/412;;3 Positiva ;;
#148599/413;;1 Positiva ;;
#148599/414;;Negativa ;;
#148599/415;;3 Positiva ;;
#148599/416;;Negativa ;;
#148599/417;;Negativa ;;
#148599/418;;1 Positiva ;;
#148599/419;;Negativa ;;
#148599/420;;Negativa ;;
#148599/421;;1 Positiva ;;
#148599/422;;3 Positiva ;;
#148599/423;;1 Positiva ;;
#148599/424;;2 Positiva ;;
#148599/425;;1 Positiva ;;
#148599/426;;Negativa ;;
#148599/427;;Negativa ;;
#148599/428;;Negativa ;;
#148599/429;;Negativa ;;
#148599/430;;Negativa ;;
#148599/431;;Negativa ;;
#148599/432;;2 Positiva ;;
#148599/433;;Negativa ;;
#148599/434;;Negativa ;;
#148599/435;;4 Positiva ;;
#148599/436;;1 Positiva ;;
#148599/437;;Negativa ;;
#148599/438;;3 Positiva ;;
#148599/439;;2 Positiva ;;
#148599/440;;Negativa ;;
#148599/441;;1 Positiva ;;
#148599/442;;Negativa ;;
#148599/443;;Negativa ;;
#148599/444;;Negativa ;;
#148599/445;;Negativa ;;
#148599/446;;3 Positiva ;;
#148599/447;;1 Positiva ;;
#148599/448;;Negativa ;;
#148599/449;;1 Positiva ;;
#148599/450;;2 Positiva ;;
#148599/451;;1 Positiva ;;
#148599/452;;1 Positiva ;;
#148599/453;;1 Positiva ;;
#148599/454;;Negativa ;;
#148599/455;;Negativa ;;
#148599/456;;1 Positiva ;;
#148599/457;;7 Positiva ;;
#148599/458;;1 Positiva ;;
#148599/459;;Negativa ;;
#148599/460;;8 Positiva ;;
#148599/461;;Negativa ;;
#148599/462;;1 Positiva ;;
#148599/463;;Negativa ;;
#148599/464;;1 Positiva ;;
#148599/465;;1 Positiva ;;
#148599/466;;Negativa ;;
#148599/467;;1 Positiva ;;
#148599/468;;Negativa ;;
#148599/469;;1 Positiva ;;
#148599/470;;Negativa ;;
#148599/471;;1 Positiva ;;
#148599/472;;Negativa ;;
#148599/473;;Negativa ;;
#148599/474;;Negativa ;;
#148708/2;;Negativa ;;
#148708/5;;Negativa ;;
#148708/6;;4 Positiva ;;
#148708/8;;Negativa ;;
#148719/2;;3 Positiva ;;
#148813/1;;2 Positiva ;;
#148813/2;;Negativa ;;
#148813/3;;1 Positiva ;;
#148813/4;;Negativa ;;
#148813/5;;1 Positiva ;;
#148813/6;;Negativa ;;
#148813/7;;Negativa ;;
#148813/8;;Negativa ;;
#148813/9;;2 Positiva ;;
#148813/10;;Negativa ;;
#148813/11;;3 Positiva ;;
#148813/12;;Negativa ;;
#148813/13;;2 Positiva ;;
#148813/14;;Negativa ;;
#148813/15;;Negativa ;;
#148813/16;;2 Positiva ;;
#148813/17;;Negativa ;;
#148813/18;;1 Positiva ;;
#148813/19;;Negativa ;;
#148813/20;;5 Positiva ;;
#148813/21;;3 Positiva ;;
#148813/22;;1 Positiva ;;
#148813/23;;1 Positiva ;;
#148813/24;;2 Positiva ;;
#148813/25;;Negativa ;;
#148813/26;;Negativa ;;
#148813/27;;Negativa ;;
#148813/28;;Negativa ;;
#148813/29;;1 Positiva ;;
#148813/30;;Negativa ;;
#148813/31;;Negativa ;;
#148813/32;;Negativa ;;
#148813/33;;3 Positiva ;;
#148813/34;;Negativa ;;
#148813/35;;Negativa ;;
#148813/36;;2 Positiva ;;
#148813/37;;1 Positiva ;;
#148813/38;;1 Positiva ;;
#148813/39;;1 Positiva ;;
#148813/40;;Negativa ;;
#148813/41;;1 Positiva ;;
#148813/42;;5 Positiva ;;
#148813/43;;3 Positiva ;;
#148813/44;;1 Positiva ;;
#148813/45;;Negativa ;;
#148813/46;;1 Positiva ;;
#148813/47;;3 Positiva ;;
#148813/48;;Negativa ;;
#148813/49;;Negativa ;;
#148813/50;;2 Positiva ;;
#148813/51;;Negativa ;;
#148813/52;;2 Positiva ;;
#148813/53;;Negativa ;;
#148813/54;;2 Positiva ;;
#148813/55;;1 Positiva ;;
#148813/56;;1 Positiva ;;
#148813/57;;1 Positiva ;;
#148813/58;;1 Positiva ;;
#148813/59;;1 Positiva ;;
#148813/60;;3 Positiva ;;
#148813/61;;Negativa ;;
#148813/62;;1 Positiva ;;
#148813/63;;2 Positiva ;;
#148813/64;;1 Positiva ;;
#148813/65;;Negativa ;;
#148813/66;;Negativa ;;
#148813/67;;Negativa ;;
#148813/68;;1 Positiva ;;
#148813/69;;Negativa ;;
#148813/70;;1 Positiva ;;
#148813/71;;1 Positiva ;;
#148813/72;;1 Positiva ;;
#148813/73;;Negativa ;;
#148813/74;;1 Positiva ;;
#148813/75;;Negativa ;;
#148813/76;;1 Positiva ;;
#148813/77;;Negativa ;;
#148813/78;;2 Positiva ;;
#148813/79;;3 Positiva ;;
#148813/80;;Negativa ;;
#148813/81;;2 Positiva ;;
#148813/82;;Negativa ;;
#148813/83;;Negativa ;;
#148813/84;;6 Positiva ;;
#148813/85;;Negativa ;;
#148813/86;;2 Positiva ;;
#148813/87;;Negativa ;;
#148813/88;;Negativa ;;
#148813/89;;5 Positiva ;;
#148813/90;;Negativa ;;
#148813/91;;Negativa ;;
#148813/92;;Negativa ;;
#148813/93;;1 Positiva ;;
#148813/94;;Negativa ;;
#148813/95;;Negativa ;;
#148813/96;;Negativa ;;
#148813/97;;3 Positiva ;;
#148813/98;;2 Positiva ;;
#148813/99;;Negativa ;;
#148813/100;;7 Positiva ;;
#148813/101;;Negativa ;;
#148813/102;;Negativa ;;
#148813/103;;1 Positiva ;;
#148813/104;;Negativa ;;
#148813/105;;Negativa ;;
#148813/106;;Negativa ;;
#148813/107;;Negativa ;;
#148813/108;;6 Positiva ;;
#148813/109;;Negativa ;;
#148813/110;;3 Positiva ;;
#148813/111;;Negativa ;;
#148813/112;;4 Positiva ;;
#148813/113;;Negativa ;;
#148813/114;;Negativa ;;
#148813/115;;Negativa ;;
#148813/116;;Negativa ;;
#148813/117;;2 Positiva ;;
#148813/118;;Negativa ;;
#148813/119;;1 Positiva ;;
#148813/120;;3 Positiva ;;
#148813/121;;Negativa ;;
#148813/122;;4 Positiva ;;
#148813/123;;Negativa ;;
#148813/124;;Negativa ;;
#148813/125;;Negativa ;;
#148813/126;;Negativa ;;
#148813/127;;1 Positiva ;;
#148813/128;;Negativa ;;
#148813/129;;Negativa ;;
#148813/130;;3 Positiva ;;
#148813/131;;Negativa ;;
#148813/132;;3 Positiva ;;
#148813/133;;1 Positiva ;;
#148813/134;;1 Positiva ;;
#148813/135;;1 Positiva ;;
#148813/136;;2 Positiva ;;
#148813/137;;2 Positiva ;;
#148813/138;;1 Positiva ;;
#148813/139;;Negativa ;;
#148813/140;;1 Positiva ;;
#148813/141;;1 Positiva ;;
#148813/142;;Negativa ;;
#148813/143;;1 Positiva ;;
#148813/144;;Negativa ;;
#148813/145;;Negativa ;;
#148813/146;;Negativa ;;
#148813/147;;Negativa ;;
#148846/2;;Negativa ;;
