Ordens ;;Resposta ;custas;motivo do atraso
#146438/135;;1 Positiva;;
#146438/136;;1 Positiva;;
#146438/137;;Negativa ;;
#146438/138;;1 Positiva;;
#146438/139;;1 Positiva;;
#146438/140;;Negativa ;;
#146438/141;;Negativa ;;
#146438/142;;3 Positiva;;
#146438/143;;Negativa ;;
#146438/144;;Negativa ;;
#146438/145;;2 Positiva;;
#146438/146;;4 Positiva;;
#146438/147;;1 Positiva;;
#146438/148;;3 Positiva;;
#146438/149;;1 Positiva;;
#146438/150;;1 Positiva;;
#146438/151;;Negativa ;;
#146438/152;;Negativa ;;
#146438/153;;Negativa ;;
#146438/154;;Negativa ;;
#146438/155;;Negativa ;;
#146438/156;;Negativa ;;
#146438/157;;1 Positiva;;
#146438/158;;Negativa ;;
#146438/159;;Negativa ;;
#146438/160;;Negativa ;;
#146438/161;;2 Positiva;;
#146438/162;;Negativa ;;
#146438/163;;23 Positiva;;
#146438/164;;4 Positiva;;
#146438/165;;Negativa ;;
#146438/166;;1 Positiva;;
#146438/167;;7 Positiva;;
#146438/168;;2 Positiva;;
#146438/169;;4 Positiva;;
#146438/170;;Negativa ;;
#146438/171;;Negativa ;;
#146438/172;;Negativa ;;
#146438/173;;Negativa ;;
#146438/174;;Negativa ;;
#146438/175;;9 Positiva;;
#146438/176;;2 Positiva;;
#146438/177;;2 Positiva;;
#146438/178;;Negativa ;;
#146438/179;;2 Positiva;;
#146438/180;;2 Positiva;;
#146438/181;;1 Positiva;;
#146438/182;;2 Positiva;;
#146438/183;;1 Positiva;;
#146438/184;;4 Positiva;;
#146438/185;;Negativa ;;
#146438/186;;1 Positiva;;
#146438/187;;Negativa ;;
#146438/188;;Negativa ;;
#146438/189;;Negativa ;;
#146438/190;;Negativa ;;
#146438/191;;1 Positiva;;
#146438/192;;2 Positiva;;
#146438/193;;Negativa ;;
#146438/194;;1 Positiva;;
#146438/195;;2 Positiva;;
#146438/196;;Negativa ;;
#146438/197;;1 Positiva;;
#146438/198;;2 Positiva;;
#146438/199;;6 Positiva;;
#146438/200;;Negativa ;;
#146438/201;;Negativa ;;
#146438/202;;2 Positiva;;
#146438/203;;2 Positiva;;
#146438/204;;1 Positiva;;
#146438/205;;Negativa ;;
#146438/206;;1 Positiva;;
#146438/207;;Negativa ;;
#146438/208;;2 Positiva;;
#146438/209;;Negativa ;;
#146438/210;;Negativa ;;
#146438/211;;Negativa ;;
#146438/212;;Negativa ;;
#146438/213;;2 Positiva;;
#146438/214;;1 Positiva;;
#146438/215;;2 Positiva;;
#146438/216;;Negativa ;;
#146438/217;;3 Positiva;;
#146438/218;;2 Positiva;;
#146438/219;;Negativa ;;
#146438/220;;1 Positiva;;
#146438/221;;1 Positiva;;
#146438/222;;Negativa ;;
#146438/223;;7 Positiva;;
#146438/224;;Negativa ;;
#146438/226;;1 Positiva1;;
#146438/227;;1 Positiva;;
#146438/228;;1 Positiva;;
#146438/229;;Negativa ;;
#146438/230;;Negativa ;;
#146438/231;;2 Positiva;;
#146438/232;;3 Positiva;;
#146438/233;;1 Positiva;;
#146438/234;;2 Positiva;;
#146438/235;;Negativa ;;
#146438/236;;Negativa ;;
#146438/237;;6 Positiva;;
#146438/238;;Negativa ;;
#146438/239;;1 Positiva;;
#146438/240;;Negativa ;;
#146438/241;;1 Positiva;;
#146438/242;;1 Positiva;;
#146438/243;;Negativa ;;
#146515/2;;Negativa ;;
#146524/2;;Negativa ;;
#146532/2;;Negativa ;;
