Referência;2011;
CLIENTE;CNPJ;VALOR Janeiro;PEDIDOS Janeiro;VALOR Fevereiro;PEDIDOS Fevereiro;VALOR Março;PEDIDOS Março;VALOR Abril;PEDIDOS Abril;VALOR Maio;PEDIDOS Maio;VALOR Junho;PEDIDOS Junho;VALOR Julho;PEDIDOS Julho;VALOR Agosto;PEDIDOS Agosto;VALOR Setembro;PEDIDOS Setembro;VALOR Outubro;PEDIDOS Outubro;VALOR Novembro;PEDIDOS Novembro;VALOR Dezembro;PEDIDOS Dezembro;VALOR Ano;Pedidos Ano;
		1 Banco do Brasil S.A.;	00.000.000/6689-31;85,60;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;85,60;1,00
Flank Ejchel e Scheibmayr Advs;	05.741.904/0001-91;90,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;90,00;1,00
Teixeira e Barbosa Santos Advogados Associados ;	05.930.571/0001-49;640,00;2;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;640,00;2,00
ANA PELLEGRINI ADVOGADOS ASSOCIADOS;	07.058.096/0001-98;1170,00;13;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;1170,00;13,00
LIME LIGHT COMERCIO DE SOM E ILUMINAÇÃO LTDA EPP;	07.275.680/0001-03;250,00;2;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;250,00;2,00
Bicbanco S/A;	07.450.604/0001-89;4387,56;150;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;4387,56;150,00
TOPAZIO CONTABILIDADE E AUDITORIA S/S LTDA ;	08.289.284/0001-90;70,53;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;70,53;1,00
LIBRO COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS.;	08.351.432/0001-59;234,60;3;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;234,60;3,00
Tradição Distribuidora de Frangos Ltda. ;	08.372.669/0001-16;100,00;2;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;100,00;2,00
LC 15 COMERCIO E CONFECÇÕES LTDA - ME;	08.472.787/0001-04;180,00;3;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;180,00;3,00
FARES HALABIYAH JUNIOR - ME;	08.679.884/0001-64;60,00;4;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;60,00;4,00
ITAPEVA  RECUPERAÇÃO DE CRÉDITOS LTDA;	09.154.383/0001-27;460,00;8;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;460,00;8,00
ACM  Legalizações Empresariais Ltda. - ME;	10.377.191/0001-69;245,00;6;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;245,00;6,00
Cobra Tecnologia S.A;	42.318.949/0001-84;570,00;7;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;570,00;7,00
ACOSERVICE IND E COM DE FERRO E AÇO LTDA ;	43.685.775/0001-50;261,00;8;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;261,00;8,00
Extinpaul Equipamentos Contra Incêndio Ltda;	51.181.287/0001-34;224,00;3;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;224,00;3,00
Tesheiner Cavassani e Giacomazi Advogados e Consultores Legais S/C;	53.283.180/0001-22;300,00;3;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;300,00;3,00
NACIONAL SERVICOS COMERCIAIS LTDA ME;	54.284.625/0001-51;178,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;178,00;1,00
FRATEX INDUSTRIA E COMERCIO LTDA;	59.418.806/0001-47;206,00;2;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;206,00;2,00
Clube dos Subtenentes e Sargentos do II Exército;	60.419.959/0001-98;253,00;5;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;253,00;5,00
237 Banco Bradesco S.A.;	60.746.948/1502-70;1880,24;42;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;1880,24;42,00
Banco Daycoval S/A;	62.232.889/0001-90;340,50;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;340,50;1,00
MOREIRA EMPREENDIMENTOS IMOBILIARIOS LTDA;	65.696.221/0001-91;170,00;2;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;170,00;2,00
FÁBIO NOBERTO DA SILVA ;	69.131.159/0001-41;1894,03;17;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;1894,03;17,00
TRIGUEIRO FONTES  ADVOGADOS;	70.030.457/0008-09;294,00;4;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;294,00;4,00
2027 Banco Santander;	90.400.888/0001-42;300,00;2;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;300,00;2,00
