Ordens;Protocolo;Resposta ;Custas ;Motivo de atraso
#149659/185;;5 Positiva ;;
#149659/186;;2 Positiva ;;
#149659/187;;1 Positiva ;;
#149659/188;;Negativa ;;
#149659/189;;6 Positiva ;;
#149659/190;;1 Positiva ;;
#149659/191;;1 Positiva ;;
#149659/192;;Negativa ;;
#149659/193;;Negativa ;;
#149659/194;;Negativa ;;
#149659/195;;Negativa ;;
#149659/196;;3 Positiva ;;
#149659/197;;Negativa ;;
#149659/198;;2 Positiva ;;
#149659/199;;Negativa ;;
#149659/200;;Negativa ;;
#149659/201;;1 Positiva ;;
#149659/202;;Negativa ;;
#149659/203;;Negativa ;;
#149659/204;;Negativa ;;
#149659/205;;1 Positiva ;;
#149659/206;;2 Positiva ;;
#149659/207;;Negativa ;;
#149659/208;;Negativa ;;
#149659/209;;3 Positiva ;;
#149659/210;;Negativa ;;
#149659/211;;Negativa ;;
#149659/212;;Negativa ;;
#149659/213;;1 Positiva ;;
#149659/214;;Negativa ;;
#149659/215;;1 Positiva ;;
#149659/216;;Negativa ;;
#149659/217;;Negativa ;;
#149659/218;;3 Positiva ;;
#149659/219;;1 Positiva ;;
#149659/220;;1 Positiva ;;
#149659/221;;Negativa ;;
#149659/222;;2 Positiva ;;
#149659/223;;2 Positiva ;;
#149659/224;;Negativa ;;
#149659/225;;Negativa ;;
#149659/226;;Negativa ;;
#149659/227;;1 Positiva ;;
#149659/228;;1 Positiva ;;
#149659/229;;Negativa ;;
#149659/230;;2 Positiva ;;
#149659/231;;1 Positiva ;;
#149659/232;;Negativa ;;
#149659/233;;1 Positiva ;;
#149659/234;;Negativa ;;
#149659/235;;Negativa ;;
#149659/236;;Negativa ;;
#149659/237;;2 Positiva ;;
#149659/238;;Negativa ;;
#149659/239;;3 Positiva ;;
#149659/240;;Negativa ;;
#149659/241;;Negativa ;;
#149659/242;;Negativa ;;
#149659/243;;Negativa ;;
#149659/244;;1 Positiva ;;
#149659/245;;1 Positiva ;;
#149659/246;;Negativa ;;
#149659/247;;Negativa ;;
#149659/248;;Negativa ;;
#149659/249;;1 Positiva ;;
#149659/250;;Negativa ;;
#149659/251;;Negativa ;;
#149659/252;;1 Positiva ;;
#149659/253;;1 Positiva ;;
#149659/254;;1 Positiva ;;
#149659/255;;Negativa ;;
#149659/256;;1 Positiva ;;
#149659/257;;Negativa ;;
#149659/258;;1 Positiva ;;
#149659/259;;Negativa ;;
#149659/260;;1 Positiva ;;
#149659/261;;Negativa ;;
#149659/262;;Negativa ;;
#149659/263;;1 Positiva ;;
#149659/264;;Negativa ;;
#149659/265;;Negativa ;;
#149659/266;;1 Positiva ;;
#149659/267;;1 Positiva ;;
#149659/268;;Negativa ;;
#149659/269;;3 Positiva ;;
#149659/270;;1 Positiva ;;
#149659/271;;Negativa ;;
#149659/272;;Negativa ;;
#149659/273;;2 Positiva ;;
#149659/274;;1 Positiva ;;
#149659/275;;1 Positiva ;;
#149659/276;;Negativa ;;
#149659/277;;2 Positiva ;;
#149659/278;;2 Positiva ;;
#149659/279;;Negativa ;;
#149659/280;;Negativa ;;
#149659/281;;2 Positiva ;;
#149659/282;;5 Positiva ;;
#149659/283;;2 Positiva ;;
#149659/284;;Negativa ;;
#149659/285;;4 Positiva ;;
#149659/286;;Negativa ;;
#149659/287;;Negativa ;;
#149659/288;;Negativa ;;
#149659/289;;1 Positiva ;;
#149659/290;;Negativa ;;
#149659/291;;1 Positiva ;;
#149659/292;;2 Positiva ;;
#149659/293;;3 Positiva ;;
#149659/294;;1 Positiva ;;
#149659/295;;2 Positiva ;;
#149659/296;;Negativa ;;
#149659/297;;Negativa ;;
#149659/298;;2 Positiva ;;
#149659/299;;2 Positiva ;;
#149659/300;;Negativa ;;
#149659/301;;1 Positiva ;;
#149659/302;;1 Positiva ;;
#149659/303;;Negativa ;;
#149659/304;;2 Positiva ;;
#149659/305;;1 Positiva 
#149659/306;;Negativa ;;
#149659/307;;Negativa ;;
#149659/308;;1 Positiva ;;
#149659/309;;Negativa ;;
#149659/310;;1 Positiva ;;
#149659/311;;2 Positiva ;;
#149659/312;;Negativa ;;
#149659/313;;2 Positiva ;;
#149659/314;;2 Positiva ;;
#149659/315;;Negativa ;;
#149659/316;;Negativa ;;
#149659/317;;2 Positiva ;;
#149659/318;;Negativa ;;
#149659/319;;Negativa ;;
#149659/320;;1 Positiva ;;
#149659/321;;Negativa ;;
#149659/322;;2 Positiva ;;
#149659/323;;Negativa ;;
#149659/324;;2 Positiva ;;
#149659/325;;Negativa ;;
#149659/326;;2 Positiva ;;
#149659/327;;2 Positiva ;;
#149659/328;;2 Positiva ;;
#149659/329;;Negativa ;;
#149659/330;;Negativa ;;
#149659/331;;1 Positiva ;;
#149659/332;;2 Positiva ;;
#149659/333;;Negativa ;;
#149659/334;;1 Positiva ;;
#149659/335;;3 Positiva ;;
#149659/336;;Negativa ;;
#149659/337;;2 Positiva ;;
#149659/338;;Negativa ;;
#149659/339;;Negativa ;;
#149659/340;;Negativa ;;
#149659/341;;2 Positiva ;;
#149659/342;;2 Positiva ;;
#149659/343;;Negativa ;;
#149659/344;;Negativa ;;
#149659/345;;4 Positiva ;;
#149659/346;;Negativa ;;
#149659/347;;2 Positiva ;;
#149659/348;;Negativa ;;
#149659/349;;Negativa ;;
#149659/350;;Negativa ;;
#149659/351;;Negativa ;;
#149659/352;;Negativa ;;
#149659/353;;Negativa ;;
#149659/354;;Negativa ;;
#149659/355;;Negativa ;;
#149659/356;;1 Positiva ;;
#149659/357;;Negativa ;;
#149659/358;;Negativa ;;
#149659/359;;3 Positiva ;;
#149659/360;;3 Positiva ;;
#149659/361;;Negativa ;;
#149659/362;;3 Positiva ;;
#149659/363;;Negativa ;;
#149659/364;;Negativa ;;
#149659/365;;1 Positiva ;;
#149659/366;;Negativa ;;
#149659/367;;2 Positiva ;;
#149659/368;;Negativa ;;
#149659/369;;2 Positiva ;;
#149659/370;;3 Positiva ;;
#149659/371;;Negativa ;;
#149659/372;;Negativa ;;
#149659/373;;1 Positiva ;;
#149659/374;;Negativa ;;
#149659/375;;1 Positiva ;;
#149659/376;;1 Positiva ;;
#149659/377;;2 Positiva ;;
#149659/378;;Negativa ;;
#149659/379;;Negativa ;;
#149659/380;;Negativa ;;
#149659/381;;4 Positiva ;;
#149659/382;;1 Positiva ;;
#149659/383;;1 Positiva ;;
#149659/384;;1 Positiva ;;
#149659/385;;Negativa ;;
#149659/386;;3 Positiva ;;
#149659/387;;2 Positiva ;;
#149659/388;;Negativa ;;
#149659/389;;Negativa ;;
#149659/390;;Negativa ;;
#149659/391;;Negativa ;;
#149659/392;;Negativa ;;
#149659/393;;Negativa ;;
#149659/394;;4 Positiva ;;
#149659/395;;Negativa ;;
#149659/396;;Negativa ;;
#149659/397;;Negativa ;;
#149659/398;;1 Positiva ;;
#149659/399;;2 Positiva ;;
#149659/400;;1 Positiva ;;
#149659/401;;1 Positiva ;;
#149659/402;;Negativa ;;
#149659/403;;Negativa ;;
#149659/404;;Negativa ;;
#149659/405;;Negativa ;;
#149659/406;;Negativa ;;
#149659/407;;Negativa ;;
#149659/408;;1 Positiva ;;
#149659/409;;Negativa ;;
#149659/410;;1 Positiva ;;
#149659/411;;Negativa ;;
#149659/412;;Negativa ;;
#149659/413;;Negativa ;;
#149659/414;;Negativa ;;
#149659/415;;Negativa ;;
#149659/416;;1 Positiva ;;
#149659/417;;1 Positiva ;;
#149659/418;;Negativa ;;
#149659/419;;Negativa ;;
#149659/420;;3 Positiva ;;
#149659/421;;1 Positiva ;;
#149659/422;;1 Positiva ;;
#149659/423;;1 Positiva ;;
#149659/424;;1 Positiva ;;
#149659/425;;1 Positiva ;;
#149659/426;;Negativa ;;
#149659/427;;1 Positiva ;;
#149659/428;;4 Positiva ;;
#149659/429;;Negativa ;;
#149659/430;;Negativa ;;
#149659/431;;Negativa ;;
#149659/432;;Negativa ;;
#149659/433;;Negativa ;;
#149659/434;;Negativa ;;
#149659/435;;Negativa ;;
#149659/436;;Negativa ;;
#149659/437;;Negativa ;;
#149659/438;;1 Positiva ;;
#149659/439;;2 Positiva ;;
#149659/440;;Negativa ;;
#149659/441;;1 Positiva ;;
#149659/442;;1 Positiva ;;
#149659/443;;2 Positiva ;;
#149659/444;;1 Positiva ;;
#149659/445;;Negativa ;;
#149659/446;;Negativa ;;
#149659/447;;8 Positiva ;;
#149659/448;;1 Positiva ;;
#149659/449;;Negativa ;;
#149659/450;;1 Positiva ;;
#149659/451;;Negativa ;;
#149659/452;;Negativa ;;
#149659/453;;2 Positiva ;;
#149659/454;;Negativa ;;
#149659/455;;3 Positiva ;;
#149659/456;;Negativa ;;
#149659/457;;Negativa ;;
#149659/458;;Negativa ;;
#149659/459;;Negativa ;;
#149659/460;;2 Positiva ;;
#149659/461;;3 Positiva ;;
#149681/2;;Negativa ;;
