 - %;
Referência:; 04/2010;
Dia;Faturamento;Impostos;Royalties;Propaganda
1;6.874,58;;0,00;137,49;
#90921/1;87,33;
#90804/6;70,00;
#90874/1;45,00;
#90847/6;35,00;
#90847/5;35,00;
#90847/4;35,00;
#90847/1;48,00;
#90809/1;82,5;
#90804/3;60,00;
#90804/2;60,00;
#90804/1;60,00;
#90696/1;151,00;
#90599/1;80;
#90236/3;80,00;
#90302/1;91,00;
#90236/2;139,7;
#90050/1;72,30;
#90004/1;185,00;
#89978/1;75;
#89936/1;149,8;
#88845/1;72,30;
#88755/7;52,50;
#88538/1;165,00;
#87870/1;142,00;
#86328/2;75,00;
#92278/1;25,00;
#91961/1;75,00;
#91953/1;75,00;
#91527/1;85,00;
#91481/1;163,9;
#90959/1;80,00;
#90847/10;10,00;
#90847/9;10,00;
#90847/8;10,00;
#90598/2;25,00;
#90578/1;108,00;
#90556/1;50,00;
#90496/5;98,00;
#90496/1;90,00;
#90445/1;149;
#90355/1;180,00;
#90304/1;163,9;
#90154/4;44;
#90154/3;86,02;
#90154/2;44,00;
#90154/1;86,02;
#90151/6;44,00;
#90151/5;86,02;
#90153/1;72,30;
#90151/4;86,02;
#90151/3;44,00;
#90151/2;44,00;
#90151/1;86,02;
#90148/6;44,00;
#90148/5;86,02;
#90148/4;86,02;
#90148/3;44,00;
#90148/2;44,00;
#90148/1;86,02;
#90145/2;44;
#90145/1;44;
#89926/1;91,00;
#89920/1;85,00;
#89794/2;185;
#89794/1;185;
#89617/2;75;
#89617/1;75;
#88813/1;120;
#88772/1;184,00;
#88752/9;52,50;
#88752/5;52,50;
#85220/1;120,00;
#84448/1;144,00;
#84310/4;35,00;
#84310/3;35,00;
#84310/2;35,00;
#84310/1;35,00;
#82233/1;132,00;
#81941/1;238,00;
#81225/1;179,00;
#76778/1;149;
#71993/27;60,00;
#65792/1;0,01;
#64266/2;45,00;
#92264/1;109,00;
#92289/1;128,80;
#92295/1;102,50;
#92306/1;100,00;
#92375/1;90,00;
#92381/1;25,00;
#92412/1;97,30;
#92247/9;45,00;
#92247/8;45,00;
#92247/7;45,00;
#92247/6;45,00;
#92247/5;45,00;
#92247/4;45,00;
#92247/3;45,00;
#92247/2;45,00;
#92247/1;45,00;
#92077/1;82,5;
#91977/1;241,70;
#91972/1;241,70;
#91910/3;45,00;
#91910/2;45,00;
#91910/1;45,00;
#91825/1;88,39;
#91776/1;93,65;
#91705/1;148,40;
#91572/1;92,40;
#91418/4;45,00;
#91418/3;28,00;
#91418/2;28,00;
#91153/1;176,00;
#91033/1;153;
#91027/1;103,95;
#91005/1;470;
#89990/5;25,50;
#90737/1;69,00;
#90652/1;29,50;
#90525/1;97,30;
#90523/1;108,50;
#90504/1;92,40;
#90222/1;711,74;
#90139/10;44;
#90139/9;86,02;
#90139/8;172,04;
#90139/7;44;
#90139/6;44;
#90139/5;86,02;
#90139/4;86,02;
#90139/3;44;
#90139/2;88,00;
#90139/1;86,02;
#90121/1;37,00;
#89990/4;25,00;
#89990/3;40,00;
#89990/1;40,00;
#89983/2;37,00;
#89983/1;37;
#89874/1;90,00;
#89537/14;52,50;
#89537/13;52,50;
#89540/1;70,00;
#89473/1;45,80;
#89463/2;123,00;
#89463/1;115,00;
#88877/1;169,00;
#88752/2;52,50;
#88728/4;85,00;
#88728/3;37,00;
#88728/2;37;
#88728/1;20;
#88633/1;118;
#87954/1;35,00;
#87951/1;161,7;
#87857/1;45,00;
#87825/1;45,00;
#87806/1;90,00;
#87526/4;52,50;
#87526/3;52,50;
#87526/1;52,50;
#87454/1;711,74;
#87089/1;93,00;
#86806/1;92,40;
#86419/1;75;
#86417/1;90,00;
#86002/7;37,00;
#85776/1;85;
#85775/1;85;
#85574/1;93,00;
#85434/1;711,74;
#85107/1;128,80;
#84914/1;155;
#84860/1;93,00;
#84787/1;37,00;
#84589/1;30;
#84350/1;40;
#84349/1;150;
#84343/1;150;
#84043/1;100;
#83614/1;85;
#83228/1;58,43;
#82870/1;90,00;
#82823/1;30;
#82521/1;711,74;
#82423/1;155;
#82060/1;155;
#82050/3;45,00;
#82050/2;45,00;
#82048/1;93,00;
#81873/1;58,43;
#81866/1;58,43;
#81865/1;58,43;
#81301/1;35,50;
#81088/2;35,00;
#81088/1;35,00;
#80870/2;90,00;
#80870/1;90,00;
#80820/1;100,00;
#80666/1;170,00;
#80537/1;45,00;
#79646/1;97,00;
#79595/4;20;
#79421/4;25,00;
#79421/3;25,00;
#77917/1;92,40;
#77741/1;72,00;
#75729/3;28,63;
#75729/2;44,00;
#75729/1;35,00;
#75598/1;75,00;
#75572/1;105,00;
#75290/2;35,50;
#75290/1;44,00;
#75186/2;35,50;
#75186/1;35,50;
#75136/1;35,55;
#74970/2;7,64;
#74673/2;30,00;
#74673/1;80,00;
#74664/3;35,50;
#74664/2;25;
#74077/33;37;
#74077/32;35,00;
#74077/31;119;
#74077/29;35,50;
#74077/28;35,00;
#74077/27;119;
#74077/26;37;
#74077/25;35,50;
#74077/24;35,50;
#74077/23;119;
#74077/22;35,50;
#74077/21;35,50;
#74077/20;20;
#74077/19;38,00;
#74077/18;35,50;
#74077/17;35,50;
#74031/2;30,00;
#74031/1;30,00;
#73919/8;38;
#73919/7;38;
#73919/6;38;
#73868/1;90,00;
#73541/3;102,00;
#73541/2;61,00;
#73541/1;35,50;
#73442/3;102,00;
#72628/5;50,00;
#72628/3;20,00;
#72628/2;20,00;
#73442/2;35,50;
#73442/1;35,50;
#73176/5;200;
#73176/4;200;
#73053/4;59,25;
#73053/3;59,15;
#73053/2;59,15;
#72842/8;43,53;
#72842/7;43,53;
#72842/6;43,53;
#72842/5;43,53;
#72842/4;43,53;
#72476/6;38,00;
#72476/5;94,00;
#72269/4;35,50;
#72269/2;35,50;
#72269/1;35,50;
#71380/1;65,00;
#70828/1;130,00;
#70193/9;116,25;
#70421/1;90,00;
#70334/1;35;
#69830/1;20;
#69827/1;43,53;
#69765/1;155,00;
#65266/1;122,00;
#92263/1;20,00;
#92433/1;92,40;
#92307/1;45,00;
#92414/1;90,00;
#92385/4;20,00;
#92385/8;20,00;
#92444/1;90,00;
#92194/1;75;
#92117/1;98,20;
#91687/1;20,00;
#91131/1;62,50;
#91028/2;81,71;
#91028/1;81,71;
#90996/1;94,00;
#90930/4;50,00;
#90930/3;50,00;
#90930/2;50,00;
#90930/1;50,00;
#90594/1;90,00;
#90508/1;90,00;
#90285/1;99,40;
#90242/1;75;
#90216/1;75;
#90083/1;125,00;
#90053/1;185;
#90037/1;150;
#90005/1;359,00;
#89992/1;165,00;
#89959/1;90,00;
#89865/1;75;
#89827/1;113,95;
#89824/1;161,7;
#89648/1;36,00;
#89635/1;90,00;
#88796/1;107,09;
#87458/1;75;
#87407/1;75;
#87402/1;181,30;
#87299/1;153,00;
#86334/1;75;
#86328/5;25,00;
#86328/4;25,00;
#86328/3;25,00;
#86322/6;25,00;
#86322/5;25,00;
#86322/4;25,00;
#86322/3;25,00;
#86322/2;25,00;
#86016/1;165;
#85725/1;75;
#85724/1;75;
#85585/1;136;
#85584/1;136;
#85274/1;333,00;
#85087/1;119;
#85006/1;179;
#84998/1;85;
#84959/1;149;
#84938/1;120,00;
#84497/1;75;
#84319/1;75;
#84112/1;110;
#84044/1;75;
#83922/1;75;
#83816/1;153;
#83812/1;37;
#83637/1;;
#83108/1;90,00;
#82927/1;75;
#82925/1;75;
#82884/1;110,00;
#82861/1;75;
#82618/1;94,00;
#82282/1;50,00;
#82050/1;97,40;
#81550/1;45,00;
#81530/1;198;
#81430/1;66,85;
#81204/1;90,00;
#80880/1;110;
#80732/1;120,00;
#77342/35;60,00;
#74809/15;60,00;
#74809/7;60,00;
#74809/6;60,00;
#74809/5;60,00;
#73518/1;105,60;
#73400/1;153;
#73103/1;153,00;
#72065/1;86;
#64338/2;54,00;
#92310/1;20,00;
#92286/1;100,00;
#92304/1;25;
#92357/1;45,00;
#92357/2;45,00;
#92357/3;45,00;
#92357/4;45,00;
#92357/5;45,00;
#92357/6;45,00;
#92357/7;45,00;
#92357/8;45,00;
#92361/3;20,00;
#92361/4;20,00;
#92416/1;185;
#92494/1;47,50;
#92502/1;62,50;
#92624/1;45,00;
#92759/5;45,00;
#92826/1;90,00;
#92232/1;47,50;
#92155/1;75,00;
#92148/1;161,7;
#91991/4;38,00;
#91991/3;25,00;
#91991/2;30,00;
#91991/1;25,00;
#91808/1;82,5;
#91804/1;103,00;
#91522/1;180,00;
#91446/1;80,00;
#91418/1;19,00;
#90828/1;132,00;
#90569/8;86,02;
#90569/7;44;
#90569/6;44;
#90569/5;86,02;
#90569/4;430,1;
#90569/3;88,00;
#90569/2;44;
#90569/1;86,02;
#89990/2;40,00;
#89537/9;52,50;
#88931/1;224,20;
#88798/1;200,00;
#88755/5;52,50;
#88629/1;129;
#87526/2;52,50;
#86978/1;75,00;
#86632/1;183,90;
#86385/1;147,00;
#85612/1;20;
#85199/2;50,00;
#82253/15;50,00;
#85200/1;50,00;
#85199/1;50,00;
#85196/1;50,00;
#85193/1;50,00;
#85191/1;50,00;
#85185/2;50,00;
#85185/1;50,00;
#85173/3;50,00;
#85178/3;50,00;
#85178/2;50,00;
#85178/1;50,00;
#85173/2;50,00;
#85173/1;50,00;
#85169/4;185;
#85169/3;50,00;
#85169/2;50,00;
#85169/1;50,00;
#85165/1;50,00;
#85159/5;50,00;
#85159/3;50,00;
#83562/1;380;
#83093/1;380;
#82832/1;99,40;
#82653/1;100,00;
#82629/1;110;
#82340/8;32,50;
#82340/7;32,50;
#82340/6;32,50;
#82340/5;32,50;
#82340/4;32,50;
#82340/3;32,50;
#82340/2;32,50;
#82340/1;32,50;
#82338/1;20,00;
#82333/1;30,00;
#82321/6;33,33;
#82321/5;33,33;
#82321/4;33,33;
#82321/3;33,33;
#82321/2;33,33;
#82321/1;33,33;
#82318/2;1,00;
#82318/1;1,00;
#82253/14;51,53;
#82253/12;51,53;
#82253/11;51,53;
#82253/10;51,53;
#82253/9;51,53;
#82253/8;51,53;
#82253/7;51,53;
#82253/6;51,53;
#82253/5;51,53;
#82253/4;51,53;
#82253/3;51,53;
#82253/2;51,53;
#82253/1;51,53;
#82248/4;20,00;
#82248/3;20,00;
#82248/2;20,00;
#82248/1;20,00;
#82231/8;20,00;
#82231/7;20,00;
#82231/6;20,00;
#82231/5;20,00;
#82231/4;20,00;
#82231/2;20,00;
#82231/1;20,00;
#82227/1;0,01;
#82181/1;90,00;
#82180/1;90,00;
#82169/1;75;
#82098/47;21,47;
#82098/46;21,47;
#82098/45;21,47;
#82098/44;21,47;
#82098/43;21,47;
#82098/42;21,47;
#82098/41;21,47;
#82098/40;21,47;
#82098/39;21,47;
#82098/38;21,47;
#82098/37;21,47;
#82098/36;21,47;
#82098/35;21,47;
#82098/34;21,47;
#82098/33;21,47;
#82098/32;21,47;
#82098/31;21,47;
#82098/30;21,47;
#82098/29;21,47;
#82098/28;21,47;
#82098/27;21,47;
#82098/26;21,47;
#82098/25;21,47;
#82098/24;21,47;
#82098/22;21,47;
#82098/21;21,47;
#82098/20;21,47;
#82098/19;21,47;
#82098/18;21,47;
#82098/17;21,47;
#82098/16;21,47;
#82098/15;21,47;
#82098/14;21,47;
#82098/13;21,47;
#82098/12;21,47;
#82098/11;21,47;
#82098/10;21,47;
#82098/9;21,47;
#82098/8;21,47;
#82098/7;21,47;
#82098/6;21,47;
#82098/5;21,47;
#82098/4;21,47;
#82098/3;21,47;
#82098/2;21,47;
#82098/1;21,47;
#82088/4;20,00;
#82088/3;20,00;
#82088/2;20,00;
#82088/1;20,00;
#82081/1;115,00;
#81951/1;100,00;
#81929/1;80,00;
#81925/2;75,00;
#81925/1;75,00;
#81921/1;90,00;
#81756/1;380;
#81587/2;20,00;
#81587/1;20,00;
#81586/1;80,00;
#81580/4;19,50;
#81580/3;19,50;
#81580/2;19,50;
#81580/1;19,50;
#81571/6;16,00;
#81571/5;16,00;
#81571/4;16,00;
#81571/3;16,00;
#81571/2;16,00;
#81571/1;16,00;
#81570/2;20,00;
#81570/1;20,00;
#81463/1;90,00;
#81294/1;110,00;
#81289/1;90,00;
#81247/1;110,00;
#81236/1;90,00;
#81198/1;120,00;
#77917/2;92,40;
#77631/1;90,00;
#77518/1;110,00;
#76934/1;130,00;
#72628/6;780,00;
#72628/4;800,00;
#71808/1;10;
#71072/1;50;
#70844/1;144,00;
#70188/1;280;
#69489/1;20;
#69323/1;20;
#66292/7;35,50;
#66292/6;35,00;
#66292/5;35,50;
#66292/4;35,50;
#66292/3;35,00;
#66292/2;35,50;
#66292/1;35,50;
#92259/1;20,00;
#92268/1;105,70;
#92274/1;90,00;
#92297/1;139,00;
#92311/1;80,00;
#92314/1;28,58;
#92314/2;28,58;
#92314/3;28,58;
#92385/3;25,00;
#92385/7;25,00;
#92405/1;80,00;
#92492/2;56,25;
#92492/1;56,25;
#92548/1;45,00;
#92548/2;45,00;
#92548/3;45,00;
#92548/4;45,00;
#92548/5;45,00;
#92548/6;45,00;
#92548/7;45,00;
#92548/8;45,00;
#92548/9;45,00;
#92548/10;45,00;
#92548/11;45,00;
#92314/4;28,58;
#92314/5;28,58;
#92314/6;28,58;
#92314/7;28,58;
#92314/8;28,58;
#92314/9;28,58;
#92314/10;28,58;
#92314/11;28,58;
#92314/12;28,58;
#87266/2;3,6;
#93014/8;45,00;
#92963/1;50,00;
#93033/1;10,00;
#92216/1;50,00;
#91992/1;146,00;
#91955/1;94,50;
#91939/3;44;
#91939/2;44;
#91939/1;86,02;
#91845/1;55,00;
#91760/8;57,50;
#91760/7;57,50;
#91760/6;57,50;
#91760/5;57,50;
#91760/4;57,50;
#91760/3;57,50;
#91760/2;57,50;
#91760/1;57,50;
#91626/1;329,00;
#91609/1;78,00;
#91483/1;103,00;
#91060/1;89,00;
#90748/1;20,00;
#90613/1;90,00;
#90598/1;29,00;
#90141/1;153;
#87253/5;95,00;
#87253/4;108,00;
#87253/3;174,00;
#87253/2;174,00;
#87253/1;262,00;
#85504/1;170,00;
#92349/1;0,01;
#92349/2;0,01;
#92349/3;0,01;
#92349/4;0,01;
#92385/1;25,00;
#92385/2;40,00;
#92385/5;25,00;
#92385/6;40,00;
#92513/1;25;
#92622/1;82,50;
#92733/1;55;
#92793/1;85,60;
#92807/1;99,90;
#93369/1;75,00;
#92238/1;85,00;
#92219/34;140,58;
#92219/33;120,58;
#92219/32;148,75;
#92219/31;148,75;
#92219/30;140,58;
#92219/29;120,58;
#92219/28;120,58;
#92219/27;140,58;
#92219/26;148,75;
#92219/25;148,75;
#92219/23;140,58;
#92219/21;120,58;
#92229/1;85,00;
#92228/1;35,00;
#92143/1;192,40;
#92142/1;97,94;
#92141/1;97,94;
#92093/1;474,75;
#92023/7;1,55;
#92023/6;1,55;
#92023/5;2,0;
#92023/4;2,00;
#92023/3;2,0;
#92023/2;2,00;
#92023/1;1,55;
#92013/7;1,55;
#92013/6;1,55;
#92013/5;2,00;
#92013/4;2,0;
#92013/3;2,00;
#92013/2;1,55;
#92019/3;86,02;
#92019/2;86,02;
#92019/1;86,02;
#92013/1;1,55;
#91999/1;89,00;
#91891/1;217,8;
#91837/1;107;
#91827/3;140,00;
#91799/1;163,42;
#91746/1;121,00;
#91700/1;47,35;
#91690/1;47,35;
#91659/1;85,00;
#91152/1;62,50;
#91083/1;184,60;
#91034/1;85,00;
#90963/1;142,00;
#90929/1;85,00;
#90869/40;86,02;
#90869/39;44;
#90869/38;44;
#90869/37;86,02;
#90869/36;86,02;
#90869/35;44;
#90869/34;44;
#90869/33;86,02;
#90869/32;86,02;
#90869/31;44;
#90869/30;44;
#90869/29;86,02;
#90869/28;86,02;
#90869/27;44;
#90869/26;44;
#90869/25;86,02;
#90869/24;86,02;
#90869/23;44;
#90869/22;44;
#90869/21;86,02;
#90869/20;86,02;
#90869/19;176,00;
#90869/18;44;
#90869/17;86,02;
#90869/16;86,02;
#90869/15;44;
#90869/14;44;
#90869/13;86,02;
#90869/12;86,02;
#90869/11;44;
#90869/10;44;
#90869/9;86,02;
#90869/8;86,02;
#90869/7;44;
#90869/6;44;
#90869/5;86,02;
#90869/4;86,02;
#90869/3;44;
#90869/2;44;
#90869/1;86,02;
#90733/1;150,00;
#90703/1;60,00;
#90505/2;80,00;
#90560/1;148,50;
#90496/6;71,00;
#90496/4;71,00;
#90496/3;71,00;
#90496/2;71,00;
#90418/1;90,00;
#90306/1;97,92;
#90057/1;298,00;
#88614/4;20,00;
#89089/1;86,00;
#89008/1;158,60;
#88065/1;176,00;
#87610/1;89,00;
#83683/1;144,00;
#81997/1;85,00;
#80787/1;85,00;
#92341/1;148,75;
#92341/2;44,00;
#92345/1;153;
#92362/1;89,00;
#92445/1;120,00;
#92455/1;35,00;
#92459/1;149;
#92485/1;90,00;
#92505/1;95,00;
#92585/1;82,5;
#92658/1;194,20;
#92670/1;80,00;
#92828/2;20;
#92759/1;45,00;
#92759/2;45,00;
#92759/3;45,00;
#92759/4;45,00;
#92768/1;90,00;
#92771/1;47,50;
#92803/1;70,00;
#92828/1;50;
#92828/4;30;
#92828/7;25;
#93014/1;45,00;
#93014/3;45,00;
#93014/2;45,00;
#93014/4;45,00;
#93014/5;45,00;
#93014/6;45,00;
#93014/7;45,00;
#93416/1;45,00;
#93373/1;83,72;
#93577/1;25,00;
#93479/3;50,00;
#92016/1;410,00;
#91949/1;250;
#91896/1;97,94;
#92424/1;90,00;
#91411/1;185;
#91161/6;86,02;
#91161/5;86,02;
#91161/4;258,06;
#91161/3;86,02;
#91161/2;86,02;
#91161/1;86,02;
#90868/1;47,50;
#90589/1;185;
#90349/1;200,00;
#90296/1;62,50;
#90263/1;153;
#90228/3;85,00;
#90228/2;220,00;
#90228/1;95,00;
#90124/3;60,00;
#90124/2;70,00;
#90124/1;60,00;
#90102/1;105,00;
#90093/1;149;
#89934/1;78,00;
#89909/1;84,00;
#89892/1;85,00;
#89888/1;85,00;
#89873/1;84,00;
#89869/1;85,00;
#89861/1;121,00;
#89850/1;89,00;
#89627/1;324,00;
#88689/1;118;
#86627/1;120,00;
#85815/1;120,00;
#81296/1;92,00;
#92270/1;185;
#92270/2;185;
#92339/1;86,02;
#92339/2;86,02;
#92339/3;86,02;
#92339/4;86,02;
#92339/5;86,02;
#92339/6;86,02;
#92388/1;148,75;
#92443/1;81,00;
#92469/1;80,00;
#92828/3;50;
#92828/5;50;
#92828/6;50;
#92958/1;62,50;
#93002/1;20,00;
#93023/1;80,00;
#93386/1;410,00;
#93412/1;45,00;
#93412/2;45,00;
#93412/3;45,00;
#93412/4;45,00;
#93436/1;85;
#93447/1;160,62;
#93462/1;59,00;
#93535/2;30,00;
#93535/1;23,00;
#93651/1;90,00;
#93654/1;90,00;
#93854/1;20,00;
#92215/1;80,00;
#92092/1;102,50;
#91803/1;163,42;
#91800/1;163,42;
#91715/1;120,00;
#91519/1;39,79;
#91082/1;150,00;
#91037/1;147,00;
#91006/1;145,00;
#90943/1;108,00;
#90876/1;119,62;
#90718/4;80,00;
#90718/2;80,00;
#90718/1;80,00;
#90325/1;135,00;
#90312/1;80;
#90074/1;89,00;
#86761/1;176,00;
#80404/1;149,00;
#92481/1;37,00;
#92490/1;103,00;
#92561/1;27,50;
#92561/3;27,50;
#92573/1;27,50;
#92573/3;27,50;
#92653/1;71,00;
#92722/1;163,9;
#92998/1;90,00;
#93050/1;70,00;
#93067/1;147;
#93308/1;83,72;
#93662/1;11,20;
#93637/1;40,00;
#93713/1;62,50;
#94117/1;25,00;
#94176/12;45,00;
#94176/13;45,00;
#92000/1;82,5;
#91990/1;85,00;
#91867/6;25,00;
#91867/5;30,00;
#91867/4;30,00;
#91867/3;25,00;
#91867/2;30,00;
#91867/1;30,00;
#91827/2;40,00;
#91827/1;40,00;
#91596/1;153,00;
#91112/1;199,50;
#90707/1;417,00;
#90701/1;29,82;
#89756/2;60,00;
#89756/1;79,00;
#89610/1;396,00;
#88892/1;142,00;
#92344/1;90,00;
#93341/7;13,88;
#92757/1;25,55;
#92757/2;25,55;
#92757/3;25,55;
#92757/4;25,55;
#92757/5;25,55;
#93341/15;13,88;
#93341/11;13,88;
#93341/6;13,88;
#93074/1;10,00;
#93074/2;10,00;
#93074/3;10,00;
#93429/2;14,40;
#93341/3;13,88;
#93341/9;13,88;
#93341/18;13,88;
#93341/1;13,88;
#93341/2;13,88;
#93341/10;13,88;
#93341/4;13,88;
#93341/5;13,88;
#93341/8;13,88;
#93341/12;13,88;
#93341/13;13,88;
#93341/14;13,88;
#93341/16;13,88;
#93971/1;200,00;
#93341/17;13,88;
#93429/1;14,40;
#93587/2;45,00;
#93587/1;45,00;
#93859/1;30,00;
#93859/2;23,00;
#93922/1;85,00;
#93968/1;16,17;
#93968/2;16,17;
#93968/3;16,17;
#93968/4;16,19;
#94151/1;33,00;
#94372/1;50,00;
#92296/1;163,26;
#92160/24;77,42;
#92160/23;39,60;
#92160/22;39,60;
#92160/21;77,42;
#92160/20;77,42;
#92160/19;39,60;
#92160/18;39,60;
#92160/17;154,84;
#92160/16;77,42;
#92160/15;39,60;
#92160/14;39,60;
#92160/13;77,42;
#92160/12;77,42;
#92160/11;39,60;
#92160/10;39,60;
#92160/9;77,42;
#92160/8;77,42;
#92160/7;118,8;
#92160/6;39,60;
#92160/5;77,42;
#92160/4;77,42;
#92160/3;39,60;
#92160/2;39,60;
#92160/1;77,42;
#92106/30;10,00;
#92106/29;10,00;
#92106/28;10,00;
#92106/26;10,00;
#92053/1;190;
#91957/24;10,00;
#91957/23;10,00;
#91957/21;10,00;
#91873/1;68,00;
#91868/1;60,00;
#91762/4;62,50;
#91762/2;46,23;
#91783/1;46,23;
#91781/1;46,23;
#91778/1;46,23;
#91777/1;46,23;
#91774/1;46,23;
#91762/1;300,00;
#91110/1;89,00;
#91002/8;30,00;
#91002/7;40,00;
#91002/6;40,00;
#91002/5;120,00;
#91002/4;30,00;
#91002/3;40,00;
#91002/2;40,00;
#91002/1;120,00;
#90437/1;132,00;
#89767/1;333,00;
#89708/1;89,00;
#89658/1;195,00;
#88726/8;90,00;
#88726/7;90,00;
#88726/6;90,00;
#88726/5;90,00;
#88726/4;90,00;
#88726/3;90,00;
#88726/2;90,00;
#88726/1;90,00;
#87155/1;188,00;
#85886/1;70,00;
#85834/1;80,00;
#92782/1;180,00;
#92348/1;88,90;
#92396/1;109,00;
#92396/2;119,00;
#92777/1;102,00;
#92620/1;94,40;
#93358/15;35,00;
#92701/1;97,00;
#92772/1;91,00;
#92789/1;132;
#92777/2;50,00;
#92777/3;40,00;
#92777/4;25,00;
#92777/5;35,00;
#92777/6;25,00;
#92777/7;50,00;
#92777/8;40,00;
#92777/9;25,00;
#92777/10;25,00;
#92777/11;35,00;
#92841/1;95,00;
#92847/1;160,00;
#92858/1;129,45;
#94176/1;45,00;
#94176/3;45,00;
#93065/1;70,00;
#93065/2;70,00;
#93065/3;70,00;
#93091/1;196,43;
#93366/1;100;
#93358/9;40,00;
#93358/1;40,00;
#93358/2;35,00;
#93358/3;25,00;
#93446/1;85,00;
#93358/8;35,00;
#93358/10;25,00;
#93358/16;40,00;
#93358/17;25,00;
#93464/1;100;
#93358/22;35,00;
#93358/23;35,00;
#93358/24;25,00;
#94176/6;45,00;
#93717/1;134,22;
#93859/3;10,00;
#93924/1;119;
#94146/1;62,50;
#94236/1;62,50;
#94176/2;45,00;
#94176/4;45,00;
#94176/5;45,00;
#94176/7;45,00;
#94176/8;45,00;
#94176/9;45,00;
#94176/10;45,00;
#94176/11;45,00;
#94264/1;65,00;
#94495/1;45,00;
#92250/1;127,00;
#92106/35;69,00;
#92106/33;69,00;
#92106/32;69,00;
#92106/31;69,00;
#92235/1;241,00;
#92219/4;31,25;
#92219/3;110,58;
#92219/2;127,53;
#92219/1;127,53;
#92218/1;149,00;
#92164/1;147;
#92145/1;100,00;
#92106/27;10,00;
#92106/25;59,00;
#92106/24;59,00;
#92106/23;59,00;
#92106/22;59,00;
#92106/21;59,00;
#92106/20;59,00;
#92106/19;59,00;
#92106/18;59,00;
#92106/17;59,00;
#92106/16;59,00;
#92106/15;59,00;
#92106/14;59,00;
#92106/13;59,00;
#92106/12;59,00;
#92106/11;59,00;
#92106/10;59,00;
#92106/9;59,00;
#92106/8;59,00;
#92106/7;59,00;
#92106/6;59,00;
#92106/5;59,00;
#92106/4;59,00;
#92106/3;59,00;
#92106/2;59,00;
#92106/1;59,00;
#91921/6;127,53;
#91921/5;110,58;
#91921/4;127,53;
#91921/3;31,25;
#91921/2;127,53;
#91921/1;110,58;
#91919/1;127,53;
#91474/1;129,00;
#90718/3;80,00;
#90667/1;97,00;
#90663/1;141,9;
#90567/1;90,00;
