0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    13062014                                                                                                                                                                                                                                                                                                                                                                                                000001
1045421005424DIR_CREDIT     SAO LUCAS MEDICO HOSPITALAR LTDA        013360276000122UNIMED SERGIPE - COOP DE TRAB MEDICO    RUA SOCORRO 100_ SAO JOSE               ARACAJU                                 49015300SE4761700001                                                                                                                                          012587134           01052003000000852505/2003     21052014000404Contrato de prestação de serviços hospitalares aos beneficiários dos planos de saúde operacionalizados pela contratante.                                                                                                                        013131370000100305572-1      000002
1008421002710DIR_CREDIT     OCS MIN E EMPREENDIMENTOS LTDA          034230979005418SUPERMIX CONCRETO S/A                   R PROF. JOSE VIEIRA DE MENDONçA, 1121   BELO HORIZONTE                          31310260MG4764200001                                                                                                                                          012577187           100120070000012817            22052014000404fornecimento de material produzido pela OCS-Mineração e EmpreendimentosLtda,a saber Brita 19mm,Brita 9,5mm e areia grossa de Brita,todos fornecidos e oferecidos em forma de tonelada.                                                          007323439000102305572-2      000003
1014421024990DIR_CREDIT     FLAVIO MOVEIS LTDA                      027406222000165DACASA FINANCEIRA S/A                   AV NOSSA SENHORA DA PENHA, 2035         VITORIA                                 29056245ES4765500001                                                                                                                                          012586461           010620070000023670S/NR        22052014000403recebíveis do cartão de crédito Private Label denominado CartãoPalladium Móveis - DACASA.                                                                                                                                                       005107922000116305572-3      000004
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007273592000164IRMANDADE BENEF DA SANTA CASA DA M      R BARAO DO RIO BRANCO , 20              FORTALEZA                               60025060CE47924000040001994301P76337    21052014900BRADESCO S/A        2006201400000000000110300CC                                                                                                                                                                                                                                                                                                                                                                                           305572-20     000021
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007273592000164IRMANDADE BENEF DA SANTA CASA DA M      R BARAO DO RIO BRANCO , 20              FORTALEZA                               60025060CE47924000050001995101P76338    21052014900BRADESCO S/A        2006201400000000000110300CC                                                                                                                                                                                                                                                                                                                                                                                           305572-21     000022
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007273592000164IRMANDADE BENEF DA SANTA CASA DA M      R BARAO DO RIO BRANCO , 20              FORTALEZA                               60025060CE47924000060001996001P76339    21052014900BRADESCO S/A        2006201400000000000110300CC                                                                                                                                                                                                                                                                                                                                                                                           305572-22     000023
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        023477326000100J T MAGALHAES AGUIAR ME                 RUA ORIANO MENDES , 876                 SOBRAL                                  62010370CE47925000010001522101P7520203  31032014900BRADESCO S/A        3006201400000000000343334CC                                                                                                                                                                                                                                                                                                                                                                                           305572-23     000024
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        023477326000100J T MAGALHAES AGUIAR ME                 RUA ORIANO MENDES , 876                 SOBRAL                                  62010370CE47925000020001525501P7520303  31032014900BRADESCO S/A        3006201400000000000343334CC                                                                                                                                                                                                                                                                                                                                                                                           305572-24     000025
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003365404000177M DE JESUS MARANHAO RODRIGUES - ME      RUA FLORIANO PEIXOTO, 264               SOBRAL                                  62010010CE47926000010001690101P7555502  16042014900BRADESCO S/A        1606201400000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           305572-25     000026
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003365404000177M DE JESUS MARANHAO RODRIGUES - ME      RUA FLORIANO PEIXOTO, 264               SOBRAL                                  62010010CE47926000020001691001P7555503  16042014900BRADESCO S/A        1507201400000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           305572-26     000027
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        011744455000138INSTITUTO PEDAGOGICO GURI LTDA          RUA CONEGO DE CASTRO , 1780             FORTALEZA                               60730000CE47927000010001868801P7623101  16052014900BRADESCO S/A        1606201400000000000210000CC                                                                                                                                                                                                                                                                                                                                                                                           305572-27     000028
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        011744455000138INSTITUTO PEDAGOGICO GURI LTDA          RUA CONEGO DE CASTRO , 1780             FORTALEZA                               60730000CE47927000020001869601P7623102  16052014900BRADESCO S/A        1507201400000000000210000CC                                                                                                                                                                                                                                                                                                                                                                                           305572-28     000029
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        011744455000138INSTITUTO PEDAGOGICO GURI LTDA          RUA CONEGO DE CASTRO , 1780             FORTALEZA                               60730000CE47927000030001870001P7623103  16052014900BRADESCO S/A        1408201400000000000210000CC                                                                                                                                                                                                                                                                                                                                                                                           305572-29     000030
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        011744455000138INSTITUTO PEDAGOGICO GURI LTDA          RUA CONEGO DE CASTRO , 1780             FORTALEZA                               60730000CE47927000040001871801P7623104  16052014900BRADESCO S/A        1509201400000000000210000CC                                                                                                                                                                                                                                                                                                                                                                                           305572-30     000031
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000010001411901P7494303  17032014900BRADESCO S/A        1606201400000000000149875CC                                                                                                                                                                                                                                                                                                                                                                                           305572-31     000032
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000020001412701P7494304  17032014900BRADESCO S/A        1507201400000000000149875CC                                                                                                                                                                                                                                                                                                                                                                                           305572-32     000033
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000030001696101P7558302  16042014900BRADESCO S/A        1606201400000000000109900CC                                                                                                                                                                                                                                                                                                                                                                                           305572-33     000034
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000040001697901P7558303  16042014900BRADESCO S/A        1507201400000000000109900CC                                                                                                                                                                                                                                                                                                                                                                                           305572-34     000035
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000050001698701P7558304  16042014900BRADESCO S/A        1408201400000000000109900CC                                                                                                                                                                                                                                                                                                                                                                                           305572-35     000036
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000060001700201P7560102  17042014900BRADESCO S/A        1606201400000000000027114CC                                                                                                                                                                                                                                                                                                                                                                                           305572-36     000037
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000070001701101P7560103  17042014900BRADESCO S/A        1607201400000000000027115CC                                                                                                                                                                                                                                                                                                                                                                                           305572-37     000038
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000080001895501P7625001  19052014900BRADESCO S/A        1806201400000000000090440CC                                                                                                                                                                                                                                                                                                                                                                                           305572-38     000039
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000090001896301P7625002  19052014900BRADESCO S/A        1807201400000000000090440CC                                                                                                                                                                                                                                                                                                                                                                                           305572-39     000040
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000100001897101P7625003  19052014900BRADESCO S/A        1808201400000000000090440CC                                                                                                                                                                                                                                                                                                                                                                                           305572-40     000041
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000110001898001P7625101  19052014900BRADESCO S/A        1806201400000000000053091CC                                                                                                                                                                                                                                                                                                                                                                                           305572-41     000042
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000120001899801P7625102  19052014900BRADESCO S/A        1807201400000000000053091CC                                                                                                                                                                                                                                                                                                                                                                                           305572-42     000043
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        001583150000138GERARDO S DISTRIBUIDORA LTDA            RUA PORTO DAS ROSAS , 1150              FORTALEZA                               60534160CE47928000130001900501P7625103  19052014900BRADESCO S/A        1808201400000000000053090CC                                                                                                                                                                                                                                                                                                                                                                                           305572-43     000044
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        010237888000134CDMAX SOLUTIONS COMERCIAL DE INFOR      RUA JOSE AVELINO, 580                   FORTALEZA                               60060220CE47929000010001823801P7587602  30042014900BRADESCO S/A        3006201400000000000593010CC                                                                                                                                                                                                                                                                                                                                                                                           305572-44     000045
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        010237888000134CDMAX SOLUTIONS COMERCIAL DE INFOR      RUA JOSE AVELINO, 580                   FORTALEZA                               60060220CE47929000020001824601P7587603  30042014900BRADESCO S/A        2907201400000000000593010CC                                                                                                                                                                                                                                                                                                                                                                                           305572-45     000046
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        010237888000134CDMAX SOLUTIONS COMERCIAL DE INFOR      RUA JOSE AVELINO, 580                   FORTALEZA                               60060220CE47929000030001826201P7587802  30042014900BRADESCO S/A        3006201400000000000051760CC                                                                                                                                                                                                                                                                                                                                                                                           305572-46     000047
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        010237888000134CDMAX SOLUTIONS COMERCIAL DE INFOR      RUA JOSE AVELINO, 580                   FORTALEZA                               60060220CE47929000040001827101P7587803  30042014900BRADESCO S/A        2907201400000000000051760CC                                                                                                                                                                                                                                                                                                                                                                                           305572-47     000048
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007240328000124EDUCADORA 7 DE SETEMBRO LTDA            AVENIDA IMPERADOR, 1330                 FORTALEZA                               60811020CE47930000010001472101P7503403  21032014900BRADESCO S/A        1906201400000000000345000CC                                                                                                                                                                                                                                                                                                                                                                                           305572-48     000049
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007240328000124EDUCADORA 7 DE SETEMBRO LTDA            AVENIDA IMPERADOR, 1330                 FORTALEZA                               60811020CE47930000020001476301P7503603  21032014900BRADESCO S/A        1906201400000000000345000CC                                                                                                                                                                                                                                                                                                                                                                                           305572-49     000050
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007240328000124EDUCADORA 7 DE SETEMBRO LTDA            AVENIDA IMPERADOR, 1330                 FORTALEZA                               60811020CE47930000030001744401P7578002  28042014900BRADESCO S/A        2706201400000000000076600CC                                                                                                                                                                                                                                                                                                                                                                                           305572-50     000051
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007240328000124EDUCADORA 7 DE SETEMBRO LTDA            AVENIDA IMPERADOR, 1330                 FORTALEZA                               60811020CE47930000040001948001P7629901  20052014900BRADESCO S/A        1906201400000000000193200CC                                                                                                                                                                                                                                                                                                                                                                                           305572-51     000052
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007240328000124EDUCADORA 7 DE SETEMBRO LTDA            AVENIDA IMPERADOR, 1330                 FORTALEZA                               60811020CE47930000050001949801P7629902  20052014900BRADESCO S/A        2107201400000000000193200CC                                                                                                                                                                                                                                                                                                                                                                                           305572-52     000053
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007240328000124EDUCADORA 7 DE SETEMBRO LTDA            AVENIDA IMPERADOR, 1330                 FORTALEZA                               60811020CE47930000060001950101P7629903  20052014900BRADESCO S/A        1808201400000000000193200CC                                                                                                                                                                                                                                                                                                                                                                                           305572-53     000054
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000010001392901P7490803  14032014900BRADESCO S/A        1206201400000000000057538CC                                                                                                                                                                                                                                                                                                                                                                                           305572-54     000055
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000020001395301P7490903  14032014900BRADESCO S/A        1206201400000000000028769CC                                                                                                                                                                                                                                                                                                                                                                                           305572-55     000056
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000030001503401P7506903  24032014900BRADESCO S/A        2306201400000000000028956CC                                                                                                                                                                                                                                                                                                                                                                                           305572-56     000057
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000040001709601P7559802  17042014900BRADESCO S/A        1606201400000000000026317CC                                                                                                                                                                                                                                                                                                                                                                                           305572-57     000058
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000050001710001P7559803  17042014900BRADESCO S/A        1607201400000000000026316CC                                                                                                                                                                                                                                                                                                                                                                                           305572-58     000059
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000060001706101P7559902  17042014900BRADESCO S/A        1606201400000000000026317CC                                                                                                                                                                                                                                                                                                                                                                                           305572-59     000060
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000070001707001P7559903  17042014900BRADESCO S/A        1607201400000000000026316CC                                                                                                                                                                                                                                                                                                                                                                                           305572-60     000061
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000080001854801P7622301  16052014900BRADESCO S/A        1606201400000000000145792CC                                                                                                                                                                                                                                                                                                                                                                                           305572-61     000062
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000090001855601P7622302  16052014900BRADESCO S/A        1507201400000000000145792CC                                                                                                                                                                                                                                                                                                                                                                                           305572-62     000063
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000100001856401P7622303  16052014900BRADESCO S/A        1408201400000000000145792CC                                                                                                                                                                                                                                                                                                                                                                                           305572-63     000064
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000110001901301P7625201  19052014900BRADESCO S/A        1806201400000000000060293CC                                                                                                                                                                                                                                                                                                                                                                                           305572-64     000065
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000120001902101P7625202  19052014900BRADESCO S/A        1807201400000000000060293CC                                                                                                                                                                                                                                                                                                                                                                                           305572-65     000066
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000130001903001P7625203  19052014900BRADESCO S/A        1808201400000000000060294CC                                                                                                                                                                                                                                                                                                                                                                                           305572-66     000067
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        003539462000250DISTRIBUIDORA DE ALIMENTOS ALBUQUE      RUA CACILDA BECKER , 270                FORTALEZA                               60525570CE47931000140002061501P7639801  23052014900BRADESCO S/A        2306201400000000000197201CC                                                                                                                                                                                                                                                                                                                                                                                           305572-67     000068
