0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    22052012                                                                                                                                                                                                                                                                                                                                                                                                000001
1007421027229COBR_CAUC_COR  ARFRIO S/A ARM GERAIS FRIGORIFICO       002279324000136GDC ALIMENTOS S/A                       RUA EUGENIO PEZZINI,500                 ITAJAI                                  88311000SC354240000100030081000052      16052012900BRADESCO S/A        2505201200000000010002062CC                                                                                                                                                                                                                                                                                                                                                                                           175705-1      000002
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510000801360767000035090B  28032012017MACEIO              2805201200000000000035133CC                                                                                                                                                                                                                                                                                                                                                                                           175705-31     000032
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510000901360775000035090C  28032012017MACEIO              2706201200000000000035134CC                                                                                                                                                                                                                                                                                                                                                                                           175705-32     000033
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510001001360791000035104B  28032012017MACEIO              2805201200000000000094500CC                                                                                                                                                                                                                                                                                                                                                                                           175705-33     000034
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510001101360805000035104C  28032012017MACEIO              2706201200000000000094500CC                                                                                                                                                                                                                                                                                                                                                                                           175705-34     000035
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510001201360821000035105B  28032012017MACEIO              2805201200000000000020933CC                                                                                                                                                                                                                                                                                                                                                                                           175705-35     000036
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510001301360830000035105C  28032012017MACEIO              2706201200000000000020934CC                                                                                                                                                                                                                                                                                                                                                                                           175705-36     000037
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510001401360856000035106B  28032012017MACEIO              2805201200000000000064200CC                                                                                                                                                                                                                                                                                                                                                                                           175705-37     000038
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510001501360864000035106C  28032012017MACEIO              2706201200000000000064200CC                                                                                                                                                                                                                                                                                                                                                                                           175705-38     000039
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510001601360881000035108B  28032012017MACEIO              2805201200000000000039333CC                                                                                                                                                                                                                                                                                                                                                                                           175705-39     000040
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510001701360899000035108C  28032012017MACEIO              2706201200000000000039334CC                                                                                                                                                                                                                                                                                                                                                                                           175705-40     000041
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510001801360911000035170B  30032012017MACEIO              0406201200000000000269100CC                                                                                                                                                                                                                                                                                                                                                                                           175705-41     000042
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510001901360929000035170C  30032012017MACEIO              0407201200000000000269100CC                                                                                                                                                                                                                                                                                                                                                                                           175705-42     000043
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510002001360937000035176A  30032012017MACEIO              2205201200000000000104000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-43     000044
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510002101360945000035176B  30032012017MACEIO              1206201200000000000104000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-44     000045
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510002201360953000035176C  30032012017MACEIO              1207201200000000000104000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-45     000046
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510002301360961000035177A  30032012017MACEIO              2205201200000000000104000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-46     000047
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510002401360970000035177B  30032012017MACEIO              1206201200000000000104000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-47     000048
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510002501360988000035177C  30032012017MACEIO              1207201200000000000104000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-48     000049
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510002601360996000035178A  30032012017MACEIO              2205201200000000000052500CC                                                                                                                                                                                                                                                                                                                                                                                           175705-49     000050
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510002701361003000035178B  30032012017MACEIO              1206201200000000000052500CC                                                                                                                                                                                                                                                                                                                                                                                           175705-50     000051
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510002801361020000035369A  05042012017MACEIO              2105201200000000000039800CC                                                                                                                                                                                                                                                                                                                                                                                           175705-51     000052
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510002901361038000035369B  05042012017MACEIO              1906201200000000000039800CC                                                                                                                                                                                                                                                                                                                                                                                           175705-52     000053
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510003001361046000035369C  05042012017MACEIO              1907201200000000000039800CC                                                                                                                                                                                                                                                                                                                                                                                           175705-53     000054
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           009401379000116HABIARTE BARC PDG C.DE MADRI I          RUA GALILEU GALILEI, 1800 - ANDAR 10º   RIBEIRAO PRETO                          14020620SP354520000101360589000035523B  11042012022RIBEIRAO PRETO      1806201200000000000084667CC                                                                                                                                                                                                                                                                                                                                                                                           175705-54     000055
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           009401379000116HABIARTE BARC PDG C.DE MADRI I          RUA GALILEU GALILEI, 1800 - ANDAR 10º   RIBEIRAO PRETO                          14020620SP354520000201360597000035523C  11042012022RIBEIRAO PRETO      1707201200000000000084666CC                                                                                                                                                                                                                                                                                                                                                                                           175705-55     000056
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           009401379000116HABIARTE BARC PDG C.DE MADRI I          RUA GALILEU GALILEI, 1800 - ANDAR 10º   RIBEIRAO PRETO                          14020620SP354520000301360619000035654B  17042012022RIBEIRAO PRETO      1806201200000000003810000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-56     000057
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           009401379000116HABIARTE BARC PDG C.DE MADRI I          RUA GALILEU GALILEI, 1800 - ANDAR 10º   RIBEIRAO PRETO                          14020620SP354520000401360627000035654C  17042012022RIBEIRAO PRETO      1707201200000000003810000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-57     000058
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           009401379000116HABIARTE BARC PDG C.DE MADRI I          RUA GALILEU GALILEI, 1800 - ANDAR 10º   RIBEIRAO PRETO                          14020620SP354530000101360571000035523A  11042012022RIBEIRAO PRETO      1805201200000000000084667CC                                                                                                                                                                                                                                                                                                                                                                                           175705-58     000059
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           009401379000116HABIARTE BARC PDG C.DE MADRI I          RUA GALILEU GALILEI, 1800 - ANDAR 10º   RIBEIRAO PRETO                          14020620SP354530000201360601000035654A  17042012022RIBEIRAO PRETO      1805201200000000003810000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-59     000060
1007420931444COBR_CAUC_BIC  PLASINCO LTDA                           061413282000143LORENZETTI S/A INDUSTRIA BRASILEIR      AV. PRESIDENTE WILSON,1230              SAO PAULO                               03107901SP35454000010124359320248       16052012007PAULISTA            1306201200000000016530192CC                                                                                                                                                                                                                                                                                                                                                                                           175710-1      000061
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       047960950003902MAGAZINE LUIZA S/A                      RUA DO COMéRCIO 1.924                   FRANCA                                  14400660SP3545500001063315870000735071  16052012022RIBEIRAO PRETO      1307201200000000010040509TD                                                                                                                                                                                                                                                                                                                                                                                           175710-2      000062
1018421002967DIR_CREDIT     RENTAL FROTA DIST. E LOGISTICA LTDA     015111297000130EMPRESA EDITORA A TARDE S/A             R PROF MILTON CAYRES DE BRITO, 204      SALVADOR                                41820570BA3545900001                                                                                                                                          011817740           260720070000002401S/Nº        17052012000403Prestação serviços diários e ininterruptos de distribuição do Diário Jornal à Tarde utilizando veículos e mão de obra própria.                                                                                                                  097415681000190175710-3      000063
9000062                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000064
