0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista , 1048 12º andar                           BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    29032010                                                                                                                                                                                                                                                                                                                                                                                                000001
1010421015845DIR_CREDIT     CONSTRUTORA MUNIZ DE ARAUJO LTDA        005440725000114FUNDACAO UNI. FED. VALE S. F. - UNIVASF AV JOSE DE Sá MANIçOBA, S/S             PETROLINA                               48902300PE2111100001                                                                                                                                          010893370           10022009000001060725/2009 UNIV19032010000407contrato para construção do complexo de educação fisica, na universidade federal do vale do são francisco - juazeiro-ba.                                                                                                                        02445786300015091423-1       000002
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900005015562351448-17     04032010038ABC                 0504201000000000004587570CC                                                                                                                                                                                                                                                                                                                                                                                           91423-27      000028
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900006015562431457-17     05032010038ABC                 0504201000000000005573880CC                                                                                                                                                                                                                                                                                                                                                                                           91423-28      000029
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900007015562511458-17     05032010038ABC                 0504201000000000006170580CC                                                                                                                                                                                                                                                                                                                                                                                           91423-29      000030
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900008015562601459-17     05032010038ABC                 0504201000000000006082830CC                                                                                                                                                                                                                                                                                                                                                                                           91423-30      000031
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900009015562781462-17     05032010038ABC                 0504201000000000004071600CC                                                                                                                                                                                                                                                                                                                                                                                           91423-31      000032
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900010015562861465-17     05032010038ABC                 0504201000000000004355910CC                                                                                                                                                                                                                                                                                                                                                                                           91423-32      000033
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900011015562941478-17     06032010038ABC                 0504201000000000004696380CC                                                                                                                                                                                                                                                                                                                                                                                           91423-33      000034
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900012015563081479-17     06032010038ABC                 0504201000000000006296940CC                                                                                                                                                                                                                                                                                                                                                                                           91423-34      000035
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900013015563161481-17     06032010038ABC                 0504201000000000005447520CC                                                                                                                                                                                                                                                                                                                                                                                           91423-35      000036
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900014015563241485-17     06032010038ABC                 0504201000000000004419090CC                                                                                                                                                                                                                                                                                                                                                                                           91423-36      000037
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900015015563321535-17     08032010038ABC                 0704201000000000004917510CC                                                                                                                                                                                                                                                                                                                                                                                           91423-37      000038
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900016015563411536-17     08032010038ABC                 0704201000000000005612490CC                                                                                                                                                                                                                                                                                                                                                                                           91423-38      000039
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900017015563591541-17     08032010038ABC                 0704201000000000005623020CC                                                                                                                                                                                                                                                                                                                                                                                           91423-39      000040
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900018015563671546-17     08032010038ABC                 0704201000000000004383990CC                                                                                                                                                                                                                                                                                                                                                                                           91423-40      000041
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900019015563751548-17     08032010038ABC                 0704201000000000004591080CC                                                                                                                                                                                                                                                                                                                                                                                           91423-41      000042
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900020015563831564-17     09032010038ABC                 0804201000000000005433480CC                                                                                                                                                                                                                                                                                                                                                                                           91423-42      000043
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900021015563911567-17     09032010038ABC                 0804201000000000006240780CC                                                                                                                                                                                                                                                                                                                                                                                           91423-43      000044
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900022015564051568-17     09032010038ABC                 0804201000000000005408910CC                                                                                                                                                                                                                                                                                                                                                                                           91423-44      000045
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900023015564131569-17     09032010038ABC                 0804201000000000005577390CC                                                                                                                                                                                                                                                                                                                                                                                           91423-45      000046
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900024015564211571-17     09032010038ABC                 0804201000000000004443660CC                                                                                                                                                                                                                                                                                                                                                                                           91423-46      000047
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900025015564301572-17     09032010038ABC                 0804201000000000005440500CC                                                                                                                                                                                                                                                                                                                                                                                           91423-47      000048
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900026015564481574-17     09032010038ABC                 0804201000000000005082480CC                                                                                                                                                                                                                                                                                                                                                                                           91423-48      000049
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900027015564561586-17     09032010038ABC                 0804201000000000006212700CC                                                                                                                                                                                                                                                                                                                                                                                           91423-49      000050
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900028015564641589-17     10032010038ABC                 0904201000000000004945590CC                                                                                                                                                                                                                                                                                                                                                                                           91423-50      000051
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900029015564721595-17     10032010038ABC                 0904201000000000005594940CC                                                                                                                                                                                                                                                                                                                                                                                           91423-51      000052
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900030015564811596-17     10032010038ABC                 0904201000000000005521230CC                                                                                                                                                                                                                                                                                                                                                                                           91423-52      000053
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900031015564991601-17     10032010038ABC                 0904201000000000004461210CC                                                                                                                                                                                                                                                                                                                                                                                           91423-53      000054
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900032015565111607-17     10032010038ABC                 0904201000000000004622670CC                                                                                                                                                                                                                                                                                                                                                                                           91423-54      000055
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900033015565291609-17     10032010038ABC                 0904201000000000006261840CC                                                                                                                                                                                                                                                                                                                                                                                           91423-55      000056
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900034015565372393        04032010038ABC                 0504201000000000005559840CC                                                                                                                                                                                                                                                                                                                                                                                           91423-56      000057
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900035015565452394        04032010038ABC                 0504201000000000006293430CC                                                                                                                                                                                                                                                                                                                                                                                           91423-57      000058
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900036015565532413        05032010038ABC                 0504201000000000001484730CC                                                                                                                                                                                                                                                                                                                                                                                           91423-58      000059
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900037015565611631-17     11032010038ABC                 1204201000000000005398380CC                                                                                                                                                                                                                                                                                                                                                                                           91423-59      000060
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900038015565701632-17     11032010038ABC                 1204201000000000004924530CC                                                                                                                                                                                                                                                                                                                                                                                           91423-60      000061
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900039015565885187-2      11032010038ABC                 1204201000000000004406500CC                                                                                                                                                                                                                                                                                                                                                                                           91423-61      000062
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900040015565961641-17     11032010038ABC                 1204201000000000005075460CC                                                                                                                                                                                                                                                                                                                                                                                           91423-62      000063
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900041015566005193-2      11032010038ABC                 1204201000000000004665500CC                                                                                                                                                                                                                                                                                                                                                                                           91423-63      000064
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900042015566185196-2      11032010038ABC                 1204201000000000005565000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-64      000065
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900043015566265197-2      11032010038ABC                 1204201000000000005565000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-65      000066
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900044015566345210-2      12032010038ABC                 1204201000000000005404000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-66      000067
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900045015566425212-2      12032010038ABC                 1204201000000000006233500CC                                                                                                                                                                                                                                                                                                                                                                                           91423-67      000068
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900046015566515220-2      12032010038ABC                 1204201000000000006275500CC                                                                                                                                                                                                                                                                                                                                                                                           91423-68      000069
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900047015566695228-2      13032010038ABC                 1204201000000000005411000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-69      000070
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900048015566775229-2      13032010038ABC                 1204201000000000004557000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-70      000071
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900049015566855242-2      13032010038ABC                 1204201000000000004616500CC                                                                                                                                                                                                                                                                                                                                                                                           91423-71      000072
9000071                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000073
