0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    04082014                                                                                                                                                                                                                                                                                                                                                                                                000001
1022421006650DIR_CREDIT     PASSAREDO T. AEREOS LTDA-EM REC.JUD     007575651000159VRG LINHAS AEREAS S/A                   AV VINTE DE JANEIRO, S/N GALEAO         RIO DE JANEIRO                          21941570RJ4862300001                                                                                                                                          012054810           141220100000018045            26112012000403Transporte de passageiros portadores de contratos de transporteadquiridos da empresa vendedora e sua respectiva bagagem, em voos regulares ede reforço da empresa transportadora.                                                               000512777000135313860-1      000002
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           075717355000367USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR486490000106586771264169-2-2  25072014900BRADESCO S/A        3009201400000000031053436CC                                                                                                                                                                                                                                                                                                                                                                                           313860-2      000003
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           075717355000367USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR486490000206586780264051-3-3  25072014900BRADESCO S/A        3110201400000000020386877CC                                                                                                                                                                                                                                                                                                                                                                                           313860-3      000004
1018421034834COBR_CAUC_BIC  LACEL LATICINIOS CERES LTDA             023439441001323ARMAZEM MATEUS LTDA                     AV ENG.EMILIANO MACIEIRA, 5 - DEPOSITO  SAO LUIS                                65095602MA486500000103790511034123      29072014042SAO LUIS            0209201400000000016915500CC                                                                                                                                                                                                                                                                                                                                                                                           313860-4      000005
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP4866800002000036260000372001  31072014007PAULISTA            2909201400000000014515060CC                                                                                                                                                                                                                                                                                                                                                                                           314065-7      000016
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP4866800003000036770000372101  31072014007PAULISTA            2108201400000000023178971CC                                                                                                                                                                                                                                                                                                                                                                                           314065-8      000017
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP4866800004000036930000372601  31072014007PAULISTA            2108201400000000045649864CC                                                                                                                                                                                                                                                                                                                                                                                           314065-9      000018
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP4866800005000037230000372801  31072014007PAULISTA            2909201400000000016653170CC                                                                                                                                                                                                                                                                                                                                                                                           314065-10     000019
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP4866800006000037400000373001  31072014007PAULISTA            2909201400000000022542174CC                                                                                                                                                                                                                                                                                                                                                                                           314065-11     000020
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP4866800007000037660000371401  31072014007PAULISTA            2909201400000000011828300CC                                                                                                                                                                                                                                                                                                                                                                                           314065-12     000021
1021421017352COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865000151RAIA DROGASIL S/A                       AVENIDA CORIFEU DE AZEVEDO MARQUES, 3097SAO PAULO                               05339000SP4866900001000005620000370801  30072014007PAULISTA            1308201400000000028348825CC                                                                                                                                                                                                                                                                                                                                                                                           314065-13     000022
1021421017352COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865000151RAIA DROGASIL S/A                       AVENIDA CORIFEU DE AZEVEDO MARQUES, 3097SAO PAULO                               05339000SP4866900002000005890000371001  30072014007PAULISTA            1308201400000000056248153CC                                                                                                                                                                                                                                                                                                                                                                                           314065-14     000023
1021421017352COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865000151RAIA DROGASIL S/A                       AVENIDA CORIFEU DE AZEVEDO MARQUES, 3097SAO PAULO                               05339000SP4866900003000005540000370201  30072014022PAULISTA            1308201400000000011763650CC                                                                                                                                                                                                                                                                                                                                                                                           314065-15     000024
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      008950019000100IRANILDA JESUS RIBEIRO SILVA            AV. PRES. VARGAS,1740 QUIOSQUI 07 JD GOIRIO VERDE                               75903290GO486830000102938139139491-03-  09072014900BRADESCO S/A        2808201400000000000117596CC                                                                                                                                                                                                                                                                                                                                                                                           314065-16     000025
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      008950019000100IRANILDA JESUS RIBEIRO SILVA            AV. PRES. VARGAS,1740 QUIOSQUI 07 JD GOIRIO VERDE                               75903290GO486830000202938112139491-01-  09072014900BRADESCO S/A        0808201400000000000117599CC                                                                                                                                                                                                                                                                                                                                                                                           314065-17     000026
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      008950019000100IRANILDA JESUS RIBEIRO SILVA            AV. PRES. VARGAS,1740 QUIOSQUI 07 JD GOIRIO VERDE                               75903290GO486830000302938121139491-02-  09072014900BRADESCO S/A        1808201400000000000117596CC                                                                                                                                                                                                                                                                                                                                                                                           314065-18     000027
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      008950019000100IRANILDA JESUS RIBEIRO SILVA            AV. PRES. VARGAS,1740 QUIOSQUI 07 JD GOIRIO VERDE                               75903290GO486830000402938147139491-04-  09072014900BRADESCO S/A        0709201400000000000117596CC                                                                                                                                                                                                                                                                                                                                                                                           314065-19     000028
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      008755515000103PORTAL COMERCIO DE EMBALAGENS LTDA      R. NICARAGUA,1563TIBERY                 UBERLANDIA                              38405100MG486840000102880955137708-01-  17062014028UBERLANDIA          1108201400000000000174240CC                                                                                                                                                                                                                                                                                                                                                                                           314065-20     000029
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      008755515000103PORTAL COMERCIO DE EMBALAGENS LTDA      R. NICARAGUA,1563TIBERY                 UBERLANDIA                              38405100MG486840000202880971137708-03-  17062014028UBERLANDIA          3108201400000000000174240CC                                                                                                                                                                                                                                                                                                                                                                                           314065-21     000030
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      008755515000103PORTAL COMERCIO DE EMBALAGENS LTDA      R. NICARAGUA,1563TIBERY                 UBERLANDIA                              38405100MG486840000302880963137708-02-  17062014028UBERLANDIA          2108201400000000000174240CC                                                                                                                                                                                                                                                                                                                                                                                           314065-22     000031
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      001482382000108TINGUI FACTORY ALIMENTOS LTDA.          R. LUIZ ANDRETA,79 PLANTA BOROS WALFRIDOCOLOMBO                                 83413240PR486850000102894913138173-00-  25062014016CURITIBA            0109201400000000000563836CC                                                                                                                                                                                                                                                                                                                                                                                           314065-23     000032
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002105972000176RIBEIRAO FACTORY COZINHA INDUSTRIA      R. OTAVIO MACHADO FILHO,535PRQ I LAGOI  RIBEIRAO PRETO                          14095290SP486860000102894921138166-00-  25062014022RIBEIRAO PRETO      0109201400000000001104761CC                                                                                                                                                                                                                                                                                                                                                                                           314065-24     000033
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      008450457000100EPOCA COM.DISTRIBUICAO PROD.ALIM.I      VIA VER. JOAQUIM COSTA,1405 GP 2 C VERDECONTAGEM                                32150240MG486870000102866359137107-00-  05062014019BELO HORIZONTE      0408201400000000001438250CC                                                                                                                                                                                                                                                                                                                                                                                           314065-25     000034
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      003476811013725DIA BRASIL SOCIEDADE LIMITADA.          ROD. PRES. DUTRA,SN KM 228 PRQ CECAP Z MGUARULHOS                               07034000SP486880000102899257046112-00-  26062014007PAULISTA            3008201400000000000412552CC                                                                                                                                                                                                                                                                                                                                                                                           314065-26     000035
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      003476811013725DIA BRASIL SOCIEDADE LIMITADA.          ROD. PRES. DUTRA,SN KM 228 PRQ CECAP Z MGUARULHOS                               07034000SP486880000202899273046110-00-  26062014007PAULISTA            3008201400000000000329755CC                                                                                                                                                                                                                                                                                                                                                                                           314065-27     000036
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      003476811013725DIA BRASIL SOCIEDADE LIMITADA.          ROD. PRES. DUTRA,SN KM 228 PRQ CECAP Z MGUARULHOS                               07034000SP486880000302865590046000-00-  04062014021PAULISTA            1008201400000000000412552CC                                                                                                                                                                                                                                                                                                                                                                                           314065-28     000037
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      003476811013725DIA BRASIL SOCIEDADE LIMITADA.          ROD. PRES. DUTRA,SN KM 228 PRQ CECAP Z MGUARULHOS                               07034000SP486880000402899265046114-00-  26062014021PAULISTA            3008201400000000000412552CC                                                                                                                                                                                                                                                                                                                                                                                           314065-29     000038
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890000102885132137749-00-  18062014019BELO HORIZONTE      2208201400000000003862100CC                                                                                                                                                                                                                                                                                                                                                                                           314065-30     000039
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890000202885060137750-05-  18062014019BELO HORIZONTE      0608201400000000000170512CC                                                                                                                                                                                                                                                                                                                                                                                           314065-31     000040
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890000302885035137753-05-  18062014019BELO HORIZONTE      0608201400000000000187563CC                                                                                                                                                                                                                                                                                                                                                                                           314065-32     000041
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890000402885141137748-00-  18062014019BELO HORIZONTE      2208201400000000000767250CC                                                                                                                                                                                                                                                                                                                                                                                           314065-33     000042
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890000502885124137750-00-  18062014019BELO HORIZONTE      2208201400000000000943800CC                                                                                                                                                                                                                                                                                                                                                                                           314065-34     000043
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890000602885078137749-05-  18062014019BELO HORIZONTE      0608201400000000000697747CC                                                                                                                                                                                                                                                                                                                                                                                           314065-35     000044
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890000702885086137748-05-  18062014019BELO HORIZONTE      0608201400000000000138615CC                                                                                                                                                                                                                                                                                                                                                                                           314065-36     000045
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890000802885094137746-05-  18062014019BELO HORIZONTE      0608201400000000000224606CC                                                                                                                                                                                                                                                                                                                                                                                           314065-37     000046
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890000902885108137752-00-  18062014019BELO HORIZONTE      2208201400000000000519090CC                                                                                                                                                                                                                                                                                                                                                                                           314065-38     000047
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890001002885159137753-00-  18062014019BELO HORIZONTE      2208201400000000001038180CC                                                                                                                                                                                                                                                                                                                                                                                           314065-39     000048
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890001102885116137751-00-  18062014019BELO HORIZONTE      2208201400000000000519090CC                                                                                                                                                                                                                                                                                                                                                                                           314065-40     000049
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890001202885167137746-00-  18062014019BELO HORIZONTE      2208201400000000001243220CC                                                                                                                                                                                                                                                                                                                                                                                           314065-41     000050
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890001302885043137752-05-  18062014019BELO HORIZONTE      0608201400000000000093781CC                                                                                                                                                                                                                                                                                                                                                                                           314065-42     000051
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      002782071000623MEGAFORT DIST.IMPOTACAO E EXPORTAC      AV. WILSON TAVARES RIBEIRO,1651CHS R.S  CONTAGEM                                32183680MG486890001402885051137751-05-  18062014019BELO HORIZONTE      0608201400000000000093781CC                                                                                                                                                                                                                                                                                                                                                                                           314065-43     000052
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      010442984000114DICRIL-PROD.E EQUIP.PARA LIMP.E HI      R. CONO. ANIBAL MARIA DI FRANCIA,150PI  CRICIUMA                                88804360SC486900000102940605140071-01-  21072014900BRADESCO S/A        0209201400000000000065783CC                                                                                                                                                                                                                                                                                                                                                                                           314065-44     000053
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      010442984000114DICRIL-PROD.E EQUIP.PARA LIMP.E HI      R. CONO. ANIBAL MARIA DI FRANCIA,150PI  CRICIUMA                                88804360SC486900000202940630140071-02-  21072014900BRADESCO S/A        0909201400000000000060065CC                                                                                                                                                                                                                                                                                                                                                                                           314065-45     000054
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      001965363001015SUMIDENSO DO BRASIL IND.ELETRICAS       ROD. AMG 1010,S N KM 01 AMADEU MIGUEL   TRES CORACOES                           37410000MG486910000102940575046303-00-  17072014900BRADESCO S/A        1608201400000000000133802CC                                                                                                                                                                                                                                                                                                                                                                                           314065-46     000055
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      001965363001015SUMIDENSO DO BRASIL IND.ELETRICAS       ROD. AMG 1010,S N KM 01 AMADEU MIGUEL   TRES CORACOES                           37410000MG486910000202940583046319-00-  21072014900BRADESCO S/A        2008201400000000000009482CC                                                                                                                                                                                                                                                                                                                                                                                           314065-47     000056
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      005231715000179SHOPPING DAS EMBALAGENS E FESTA LT      R. STA. RITA,364CENTRO                  JUIZ DE FORA                            36010071MG486920000102905621138528-02-  30062014900BRADESCO S/A        0309201400000000000042271CC                                                                                                                                                                                                                                                                                                                                                                                           314065-48     000057
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      005231715000179SHOPPING DAS EMBALAGENS E FESTA LT      R. STA. RITA,364CENTRO                  JUIZ DE FORA                            36010071MG486920000202905729138528-03-  30062014900BRADESCO S/A        1809201400000000000042271CC                                                                                                                                                                                                                                                                                                                                                                                           314065-49     000058
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      005231715000179SHOPPING DAS EMBALAGENS E FESTA LT      R. STA. RITA,364CENTRO                  JUIZ DE FORA                            36010071MG486920000302905583138528-01-  30062014900BRADESCO S/A        1908201400000000000060859CC                                                                                                                                                                                                                                                                                                                                                                                           314065-50     000059
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      0255134740001681000 IDEIAS COM.DE EMBALAGENS LTDA      AV. INDEPENDENCIA,1952S MATEUS          JUIZ DE FORA                            36016321MG486930000102914451139255-03-  03072014900BRADESCO S/A        1610201400000000000044303CC                                                                                                                                                                                                                                                                                                                                                                                           314065-51     000060
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      0255134740001681000 IDEIAS COM.DE EMBALAGENS LTDA      AV. INDEPENDENCIA,1952S MATEUS          JUIZ DE FORA                            36016321MG486930000202914418139255-02-  03072014900BRADESCO S/A        0110201400000000000044303CC                                                                                                                                                                                                                                                                                                                                                                                           314065-52     000061
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      0255134740001681000 IDEIAS COM.DE EMBALAGENS LTDA      AV. INDEPENDENCIA,1952S MATEUS          JUIZ DE FORA                            36016321MG486930000302914396139255-01-  03072014900BRADESCO S/A        1609201400000000000061347CC                                                                                                                                                                                                                                                                                                                                                                                           314065-53     000062
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      059765651000387CORSO E CIA.LTDA.                       AV. JOAO PINHEIRO,1100JD COUNTRY CLUB   POCOS DE CALDAS                         37701387MG486940000102905672138640-02-  30062014900BRADESCO S/A        0309201400000000000042488CC                                                                                                                                                                                                                                                                                                                                                                                           314065-54     000063
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      059765651000387CORSO E CIA.LTDA.                       AV. JOAO PINHEIRO,1100JD COUNTRY CLUB   POCOS DE CALDAS                         37701387MG486940000202905541138640-01-  30062014900BRADESCO S/A        1908201400000000000065516CC                                                                                                                                                                                                                                                                                                                                                                                           314065-55     000064
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      059765651000387CORSO E CIA.LTDA.                       AV. JOAO PINHEIRO,1100JD COUNTRY CLUB   POCOS DE CALDAS                         37701387MG486940000302905681138640-03-  30062014900BRADESCO S/A        1809201400000000000042488CC                                                                                                                                                                                                                                                                                                                                                                                           314065-56     000065
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      071067649000178DISTR.FLORIANO LTDA.                    R. MAL. FLORIANO PEIXOTO,226CENTRO      JUIZ DE FORA                            36013080MG486950000102905575138636-01-  30062014900BRADESCO S/A        1908201400000000000059985CC                                                                                                                                                                                                                                                                                                                                                                                           314065-57     000066
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      071067649000178DISTR.FLORIANO LTDA.                    R. MAL. FLORIANO PEIXOTO,226CENTRO      JUIZ DE FORA                            36013080MG486950000202905656138636-02-  30062014900BRADESCO S/A        0309201400000000000049047CC                                                                                                                                                                                                                                                                                                                                                                                           314065-58     000067
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      071067649000178DISTR.FLORIANO LTDA.                    R. MAL. FLORIANO PEIXOTO,226CENTRO      JUIZ DE FORA                            36013080MG486950000302905699138636-03-  30062014900BRADESCO S/A        1809201400000000000049047CC                                                                                                                                                                                                                                                                                                                                                                                           314065-59     000068
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      042908509000187KARLOS PAPELARIA LTDA.                  PC. CEL. TIBURCIO,108BARRA              MURIAE                                  36880000MG486960000102905702138638-03-  30062014900BRADESCO S/A        1809201400000000000045545CC                                                                                                                                                                                                                                                                                                                                                                                           314065-60     000069
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      042908509000187KARLOS PAPELARIA LTDA.                  PC. CEL. TIBURCIO,108BARRA              MURIAE                                  36880000MG486960000202905532138638-01-  30062014900BRADESCO S/A        1908201400000000000070232CC                                                                                                                                                                                                                                                                                                                                                                                           314065-61     000070
1032421002032COBR_CAUC_COR  CANGURU S/A IND COM PROD PLASTICOS      042908509000187KARLOS PAPELARIA LTDA.                  PC. CEL. TIBURCIO,108BARRA              MURIAE                                  36880000MG486960000302905648138638-02-  30062014900BRADESCO S/A        0309201400000000000045545CC                                                                                                                                                                                                                                                                                                                                                                                           314065-62     000071
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      029850302000130PENA FIEL BAR LTDA.                     R. GAVIAO PEIXOTO,182 LOJA 110ICARAI    NITEROI                                 24230101RJ486970000102905567138555-01-  30062014014RIO DE JANEIRO      1908201400000000000044265CC                                                                                                                                                                                                                                                                                                                                                                                           314065-63     000072
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      029850302000130PENA FIEL BAR LTDA.                     R. GAVIAO PEIXOTO,182 LOJA 110ICARAI    NITEROI                                 24230101RJ486970000202905664138555-02-  30062014014RIO DE JANEIRO      0309201400000000000044263CC                                                                                                                                                                                                                                                                                                                                                                                           314065-64     000073
1032421002032COBR_CAUC_BIC  CANGURU S/A IND COM PROD PLASTICOS      029850302000130PENA FIEL BAR LTDA.                     R. GAVIAO PEIXOTO,182 LOJA 110ICARAI    NITEROI                                 24230101RJ486970000302905605138555-05-  30062014014RIO DE JANEIRO      2908201400000000000030031CC                                                                                                                                                                                                                                                                                                                                                                                           314065-65     000074
